data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;31.46976351737976;0.023820380806922913;47.641376972198486;0.02252315246682994;333.5963923931122;2000;1663;0.8315;1000;663;0;0.663;1000;1000;337;1.0;14811;6120;0.4132064006481669;12827;4750;614;0.37031262181336244;1984;1370;8077;0.6905241935483871;6390;987;5403;
1000/1000;2;True;30.253230571746826;0.03939129519462586;78.78398418426514;0.03880225329933221;574.700846195221;2000;1750;0.875;1000;933;183;0.933;1000;817;67;0.817;14811;8789;0.5934103031530619;12827;7953;1148;0.6200202697435098;1984;836;4874;0.4213709677419355;0;0;0;
1000/1000;5;False;20.83143138885498;0.015140148639678955;30.280922174453735;0.01631363764144674;241.62188172340393;2000;1756;0.878;1000;756;0;0.756;1000;1000;244;1.0;14811;6399;0.43204375126595096;12827;5077;662;0.39580572230451394;1984;1322;7750;0.6663306451612904;5716;895;4821;
1000/1000;5;True;24.36468195915222;0.027316749691963196;54.6345419883728;0.02629345196262973;389.43373227119446;2000;1813;0.9065;1000;953;140;0.953;1000;860;47;0.86;14811;8804;0.5944230639389643;12827;7992;1172;0.6230607312699774;1984;812;4835;0.4092741935483871;0;0;0;
1000/1000;8;False;21.203479766845703;0.013713097095489502;27.427123546600342;0.013743186091983932;203.5509934425354;2000;1831;0.9155;1000;831;0;0.831;1000;1000;169;1.0;14811;6566;0.4433191546823307;12827;5306;724;0.413658688703516;1984;1260;7521;0.6350806451612904;5055;745;4310;
1000/1000;8;True;21.074690103530884;0.017803830742835997;35.60859990119934;0.019494572317452958;288.7347671985626;2000;1881;0.9405;1000;961;80;0.961;1000;920;39;0.92;14811;8758;0.5913172641955303;12827;7907;1133;0.6164340843533173;1984;851;4920;0.42893145161290325;0;0;0;
1000/1000;10;False;20.575483798980713;0.013358937621116639;26.719542741775513;0.013536196590137951;200.48526239395142;2000;1867;0.9335;1000;867;0;0.867;1000;1000;133;1.0;14811;6622;0.44710012828303286;12827;5327;689;0.4152958602946909;1984;1295;7500;0.6527217741935484;4801;737;4064;
1000/1000;10;True;21.471633434295654;0.016666040182113647;33.33389472961426;0.019089813807420974;282.7413077354431;2000;1906;0.953;1000;982;76;0.982;1000;924;18;0.924;14811;8691;0.5867935993518331;12827;7826;1119;0.6101192796444999;1984;865;5001;0.43598790322580644;0;0;0;
