data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;23.69270396232605;0.01846324121952057;36.92842745780945;0.01810739882125656;1336.762674331665;2000;1690;0.845;1000;690;0;0.69;1000;1000;310;1.0;73824;29902;0.40504442999566537;64702;23183;2403;0.35830422552625885;9122;6719;41519;0.7365709274281955;38327;5858;32469;
1000/1000;2;True;25.1974036693573;0.05947002494335175;118.94142436981201;0.053753433577105963;3968.295917749405;2000;1619;0.8095;1000;939;320;0.939;1000;680;61;0.68;73824;48417;0.6558436280884266;64702;45756;6461;0.7071806126549411;9122;2661;18946;0.29171234378425787;0;0;0;
1000/1000;5;False;19.277708530426025;0.013196925282478332;26.394834280014038;0.013368748945491263;986.9356524944305;2000;1701;0.8505;1000;701;0;0.701;1000;1000;299;1.0;73824;30004;0.40642609449501516;64702;23299;2417;0.3600970603690767;9122;6705;41403;0.7350361762771322;37883;5801;32082;
1000/1000;5;True;19.602254629135132;0.03501020014286041;70.0218575000763;0.03264494123374119;2409.9815123081207;2000;1628;0.814;1000;936;308;0.936;1000;692;64;0.692;73824;48198;0.6528771131339401;64702;45504;6428;0.7032858335136472;9122;2694;19198;0.29532997149747864;0;0;0;
1000/1000;8;False;17.79293727874756;0.011592755079269408;23.18686318397522;0.011729547554505145;865.9234879016876;2000;1709;0.8545;1000;709;0;0.709;1000;1000;291;1.0;73824;30144;0.4083224967490247;64702;23460;2438;0.3625853914871256;9122;6684;41242;0.7327340495505371;37765;5803;31962;
1000/1000;8;True;18.08121132850647;0.02856737196445465;57.13593673706055;0.026207935618899527;1934.7763018608093;2000;1651;0.8255;1000;942;291;0.942;1000;709;58;0.709;73824;48198;0.6528771131339401;64702;45504;6428;0.7032858335136472;9122;2694;19198;0.29532997149747864;0;0;0;
1000/1000;10;False;17.50681734085083;0.01148398220539093;22.969493627548218;0.011464627166563265;846.3661408424377;2000;1715;0.8575;1000;715;0;0.715;1000;1000;285;1.0;73824;30177;0.40876950585175553;64702;23523;2468;0.3635590862724491;9122;6654;41179;0.7294452970839728;37471;5751;31720;
1000/1000;10;True;17.98071026802063;0.02684067976474762;53.68188261985779;0.025022198804979155;1847.2405886650085;2000;1649;0.8245;1000;941;292;0.941;1000;708;59;0.708;73824;47980;0.6499241439098397;64702;45299;6441;0.7001174615931501;9122;2681;19403;0.2939048454286341;0;0;0;
