data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;0.014034271240234375;0.0008274555206298828;0.008321523666381836;0.0008409047706873444;153.10358715057373;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112080;0.6155874114351623;154341;102620;18269;0.6648913768862454;27729;9460;51721;0.34115907533629053;41438;6554;34884;
5/5;1;True;0.006219148635864258;0.0008645057678222656;0.008698225021362305;0.001160297353466581;211.25542449951172;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108288;0.594760257043994;154341;98069;17510;0.6354047207158176;27729;10219;56272;0.36853114068303944;0;0;0;
5/5;2;False;0.004485368728637695;0.0006082534790039062;0.0061261653900146484;0.0006116553102456516;111.36414217948914;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118307;0.6497885428681276;154341;110593;20015;0.7165497178325915;27729;7714;43748;0.2781925060406073;28963;4523;24440;
5/5;2;True;0.004614114761352539;0.0006073713302612305;0.0061016082763671875;0.0007677884420597187;139.7913007736206;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114055;0.6264348876805624;154341;105528;19202;0.6837327735339281;27729;8527;48813;0.30751199105629484;0;0;0;
5/5;3;False;0.006154537200927734;0.0005400180816650391;0.005433797836303711;0.0005203993269264086;94.74917030334473;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115003;0.6316416762783544;154341;105966;18692;0.6865706455186892;27729;9037;48375;0.3259042879296044;37666;6086;31580;
5/5;3;True;0.00406193733215332;0.0005277872085571289;0.005321502685546875;0.0006540311334186444;119.07949447631836;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110056;0.6044708079310156;154341;99898;17571;0.6472551039581187;27729;10158;54443;0.3663312777236828;3;0;3;
5/5;4;False;0.003657102584838867;0.00047647953033447266;0.004788875579833984;0.00047823295120798254;87.07191872596741;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120086;0.6595595100785412;154341;112525;20168;0.7290674545324962;27729;7561;41816;0.27267481697861445;31138;4876;26262;
5/5;4;True;0.003681659698486328;0.000480961799621582;0.004843950271606445;0.0005814853175216644;105.87109041213989;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112063;0.6154940407535563;154341;102845;18511;0.6663491878373212;27729;9218;51496;0.33243175015326915;41;5;36;
5/5;5;False;0.0036885738372802734;0.00045666694641113283;0.004602193832397461;0.00045385283981744793;82.63305830955505;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115219;0.6328280331740539;154341;106572;19082;0.6904970163469202;27729;8647;47769;0.311839590320603;38034;5950;32084;
5/5;5;True;0.003632783889770508;0.000465083122253418;0.00470280647277832;0.0005738849857791472;104.4873046875;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;106555;0.5852419399132202;154341;96120;17294;0.6227768382996093;27729;10435;58221;0.376320819358794;19;4;15;
5/5;6;False;0.0035881996154785156;0.00043675899505615237;0.004402637481689453;0.0004440543796541192;80.8490583896637;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114565;0.6292360081287417;154341;105831;18995;0.6856959589480436;27729;8734;48510;0.3149770997872264;38199;6017;32182;
5/5;6;True;0.0035338401794433594;0.00045859813690185547;0.004628419876098633;0.0005405879488178328;98.42489337921143;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;104965;0.5765090349865436;154341;94101;16865;0.6096954146986219;27729;10864;60240;0.3917919867286956;14;2;12;
5/5;7;False;0.003624439239501953;0.00042879581451416016;0.004322528839111328;0.0004248041267770057;77.34448313713074;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;104947;0.576410171911902;154341;94214;16996;0.610427559754051;27729;10733;60127;0.38706769086515924;36548;5697;30851;
5/5;7;True;0.0035517215728759766;0.0004962205886840821;0.005002498626708984;0.0005222182366314637;95.08032894134521;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98381;0.5403471192398528;154341;86268;15616;0.5589441561218341;27729;12113;68073;0.43683508240470265;489;76;413;
5/5;8;False;0.0033228397369384766;0.000408172607421875;0.0041086673736572266;0.00042021255055271095;76.50815105438232;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;119504;0.6563629373317955;154341;112083;20308;0.726203665908605;27729;7421;42258;0.26762595117025495;35381;5597;29784;
5/5;8;True;0.0034334659576416016;0.0004271030426025391;0.004324674606323242;0.0005002533406724698;91.08118534088135;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;99354;0.545691217663536;154341;87347;15722;0.5659351695272157;27729;12007;66994;0.4330123697212305;7;1;6;
5/5;9;False;0.0033953189849853516;0.0004306793212890625;0.004358768463134766;0.0004078178813798349;74.2514545917511;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;99372;0.5457900807381776;154341;87089;15446;0.5642635463033154;27729;12283;67252;0.4429658480291392;41212;6534;34678;
5/5;9;True;0.0033903121948242188;0.0004148006439208984;0.0041921138763427734;0.0005040680732942854;91.77572727203369;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;94708;0.5201735596199264;154341;81477;14498;0.5279025016035921;27729;13231;72864;0.47715388221717336;1130;175;955;
5/5;10;False;0.00336456298828125;0.00052947998046875;0.005331993103027344;0.00040299774702517055;73.37386751174927;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;122299;0.671714175866425;154341;115827;21257;0.7504616401345073;27729;6472;38514;0.2334018536550182;41732;6163;35569;
5/5;10;True;0.0034177303314208984;0.00040035247802734376;0.004033327102661133;0.0005023117715459801;91.4559555053711;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112620;0.618553303674411;154341;104081;19190;0.6743574293285647;27729;8539;50260;0.30794475098272567;1094;189;905;
5/5;20;False;0.003386259078979492;0.00038869380950927733;0.003928661346435547;0.00038340668273127937;69.80690264701843;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;123998;0.681045751633987;154341;117601;21332;0.7619556695887677;27729;6397;36740;0.23069710411482564;83820;12958;70862;
5/5;20;True;0.003258228302001953;0.0003754854202270508;0.003789186477661133;0.0005645035453373579;102.77922010421753;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115355;0.6335749986269017;154341;106925;19299;0.6927841597501636;27729;8430;47416;0.3040138483176458;19710;3088;16622;
5/5;25;False;0.003042459487915039;0.00036497116088867186;0.0036878585815429688;0.0003662488812400343;66.68299603462219;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;119175;0.654555940023068;154341;112103;20657;0.7263332491042561;27729;7072;42238;0.2550398499765588;69557;10486;59071;
5/5;25;True;0.0030884742736816406;0.00036993026733398435;0.0037322044372558594;0.00048502085530634155;88.30780577659607;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;116237;0.6384192892843412;154341;108533;20025;0.7032026486805191;27729;7704;45808;0.2778318727685816;35493;5361;30132;
5/5;30;False;0.003132343292236328;0.0003549337387084961;0.0035877227783203125;0.00036406297165682153;66.28499341011047;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;136271;0.7484538913604658;154341;132981;24439;0.8616051470445313;27729;3290;21360;0.11864834649644776;80502;12145;68357;
5/5;30;True;0.0034322738647460938;0.0003985881805419922;0.004019975662231445;0.00042889714928509315;78.08935046195984;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;135812;0.7459328829571044;154341;132437;24354;0.8580804841228189;27729;3375;21904;0.12171372930866602;52567;8062;44505;
5/5;50;False;0.0031044483184814453;0.0003508090972900391;0.0035398006439208984;0.0003561307408765532;64.84078431129456;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148458;0.8153896852858791;154341;147292;26563;0.9543284026927388;27729;1166;7049;0.04204983951819395;161033;24520;136513;
5/5;50;True;0.003030061721801758;0.0003519773483276367;0.0035605430603027344;0.00035724743342173057;65.0440993309021;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148458;0.8153896852858791;154341;147292;26563;0.9543284026927388;27729;1166;7049;0.04204983951819395;161033;24520;136513;
5/5;100;False;0.002791166305541992;0.0003082275390625;0.003113269805908203;0.00031699026319087156;57.71448302268982;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;154330;0.8476410171911902;154341;154330;27729;0.9999287292423918;27729;0;11;0.0;182054;27729;154325;
