data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;0.014210939407348633;0.0008610725402832031;0.008659839630126953;0.0007971374129662372;145.13486790657043;10;8;0.8;5;5;2;1.0;5;3;0;0.6;182070;126926;0.6971274784423573;154341;120862;21665;0.7830842096396939;27729;6064;33479;0.2186880161563706;18416;3044;15372;
5/5;1;True;0.0060634613037109375;0.0010740995407104493;0.010794401168823242;0.0009648314874778635;175.66693091392517;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;0;0;0;
5/5;2;False;0.004508018493652344;0.0005682945251464844;0.005725383758544922;0.0005789290335083176;105.40568614006042;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;129920;0.7135717031910803;154341;124537;22346;0.8068951218405997;27729;5383;29804;0.19412889033142197;12343;1971;10372;
5/5;2;True;0.004487514495849609;0.000660562515258789;0.0066375732421875;0.0006459811285482689;117.61383605003357;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;0;0;0;
5/5;3;False;0.003916740417480469;0.0005074501037597656;0.005108356475830078;0.0004987839413165862;90.81364727020264;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;127930;0.7026418410501456;154341;122141;21940;0.7913710550015874;27729;5789;32200;0.20877060117566446;10343;1582;8761;
5/5;3;True;0.004149198532104492;0.00051422119140625;0.0051805973052978516;0.0005401468633158422;98.34459185600281;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124582;0.6842533091668039;154341;118094;21241;0.7651498953615695;27729;6488;36247;0.2339788668902593;0;0;0;
5/5;4;False;0.003696441650390625;0.0004626035690307617;0.004657268524169922;0.00045381111820296584;82.62545251846313;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124820;0.6855604987092876;154341;118470;21379;0.7675860594398118;27729;6350;35871;0.22900212773630496;10173;1509;8664;
5/5;4;True;0.0036966800689697266;0.0004719734191894531;0.004769563674926758;0.0005004178674320429;91.11114192008972;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120011;0.6591475806008678;154341;112565;20283;0.7293266209237986;27729;7446;41776;0.2685275343503192;2;0;2;
5/5;5;False;0.003504037857055664;0.00043582916259765625;0.004396677017211914;0.000441376636649904;80.3615083694458;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117307;0.644296149832482;154341;109055;19477;0.7065847700870151;27729;8252;45286;0.29759457607558876;10727;1650;9077;
5/5;5;True;0.0035355091094970703;0.00044345855712890625;0.004477500915527344;0.0004799699746659516;87.38819456100464;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112836;0.6197396605701104;154341;103542;18435;0.6708651622057652;27729;9294;50799;0.3351725630206643;22;1;21;
5/5;6;False;0.0032901763916015625;0.0004121541976928711;0.004160404205322266;0.00041835521128737185;76.17001342773438;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;126908;0.6970286153677158;154341;120945;21766;0.7836219799016464;27729;5963;33396;0.21504562010891126;9779;1536;8243;
