data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
500/500;2;False;10.097299575805664;0.017148934841156007;17.149852514266968;0.016521040432116125;110.44418811798096;1000;902;0.902;500;402;0;0.804;500;500;98;1.0;6685;2997;0.4483171278982797;5726;2384;346;0.4163464896961229;959;613;3342;0.6392075078206465;2251;369;1882;
500/500;2;True;10.504136085510254;0.024500194549560546;24.501199960708618;0.025806681184333567;172.51830196380615;1000;934;0.934;500;473;39;0.946;500;461;27;0.922;6685;3854;0.5765145848915483;5726;3423;528;0.597799511002445;959;431;2303;0.4494264859228363;0;0;0;
500/500;5;False;7.841392278671265;0.011562655448913575;11.563684940338135;0.01176986512445922;78.68292951583862;1000;959;0.959;500;459;0;0.918;500;500;41;1.0;6685;3197;0.4782348541510845;5726;2606;368;0.45511701012923506;959;591;3120;0.616266944734098;1877;311;1566;
500/500;5;True;7.799458742141724;0.014253579139709472;14.255465507507324;0.016598879015971763;110.96418929100037;1000;962;0.962;500;490;28;0.98;500;472;10;0.944;6685;3905;0.5841436050860135;5726;3452;506;0.6028641285365002;959;453;2274;0.47236704900938475;0;0;0;
500/500;8;False;6.832013845443726;0.009070205926895142;9.071455717086792;0.009609695397479015;64.24145865440369;1000;977;0.977;500;477;0;0.954;500;500;23;1.0;6685;3224;0.48227374719521315;5726;2679;414;0.4678658749563395;959;545;3047;0.5683003128258602;1588;243;1345;
500/500;8;True;7.205928564071655;0.010585870265960693;10.586968660354614;0.012340322749866153;82.49575448036194;1000;979;0.979;500;493;14;0.986;500;486;7;0.972;6685;3888;0.581600598354525;5726;3468;539;0.6056584002794272;959;420;2258;0.43795620437956206;0;0;0;
500/500;10;False;7.178174257278442;0.00993652582168579;9.937345027923584;0.009702684563670304;64.86364698410034;1000;986;0.986;500;486;0;0.972;500;500;14;1.0;6685;3184;0.4762902019446522;5726;2630;405;0.4593084177436256;959;554;3096;0.5776850886339937;1529;224;1305;
500/500;10;True;6.928896188735962;0.010222941875457763;10.224311351776123;0.01173812103699461;78.47048163414001;1000;986;0.986;500;495;9;0.99;500;491;5;0.982;6685;3837;0.5739715781600598;5726;3387;509;0.5915123995808592;959;450;2339;0.4692387904066736;0;0;0;
