data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
500/500;2;False;11.709510564804077;0.019476810932159423;19.48046588897705;0.018981620370084225;112.46723580360413;1000;901;0.901;500;401;0;0.802;500;500;99;1.0;5925;2644;0.44624472573839663;5378;2301;204;0.42785422089996283;547;343;3077;0.6270566727605119;1914;197;1717;
500/500;2;True;11.099490404129028;0.026435975790023804;26.43661093711853;0.027524961157690122;163.08598065376282;1000;939;0.939;500;477;38;0.954;500;462;23;0.924;5925;3494;0.589704641350211;5378;3236;289;0.6017106731126813;547;258;2142;0.4716636197440585;0;0;0;
500/500;5;False;8.406217813491821;0.012872545480728149;12.873421430587769;0.013081309322566423;77.50738835334778;1000;956;0.956;500;456;0;0.912;500;500;44;1.0;5925;2833;0.4781434599156118;5378;2510;224;0.46671625139457046;547;323;2868;0.5904936014625228;1565;163;1402;
500/500;5;True;8.462363958358765;0.015556720972061157;15.55768346786499;0.017071022242936405;101.14675283432007;1000;967;0.967;500;492;25;0.984;500;475;8;0.95;5925;3562;0.6011814345991561;5378;3313;298;0.6160282632949051;547;249;2065;0.45521023765996343;0;0;0;
500/500;8;False;7.664226055145264;0.010516342639923095;10.51694107055664;0.010549852153922939;62.50845146179199;1000;981;0.981;500;481;0;0.962;500;500;19;1.0;5925;2835;0.47848101265822784;5378;2519;231;0.46838973596132394;547;316;2859;0.5776965265082267;1353;140;1213;
500/500;8;True;7.9059059619903564;0.011449289083480835;11.449939727783203;0.013242851369994603;78.46453857421875;1000;985;0.985;500;497;12;0.994;500;488;3;0.976;5925;3445;0.5814345991561182;5378;3209;311;0.596690219412421;547;236;2169;0.43144424131627057;0;0;0;
500/500;10;False;7.6889073848724365;0.010290234088897706;10.291207313537598;0.01038659413655599;61.54158139228821;1000;991;0.991;500;491;0;0.982;500;500;9;1.0;5925;2852;0.48135021097046415;5378;2520;215;0.46857567869096317;547;332;2858;0.6069469835466179;1273;120;1153;
500/500;10;True;7.698706150054932;0.010760668516159057;10.76150894165039;0.012666280682076885;75.0492672920227;1000;993;0.993;500;498;5;0.996;500;495;2;0.99;5925;3468;0.5853164556962025;5378;3191;270;0.5933432502789141;547;277;2187;0.506398537477148;0;0;0;
