data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
500/500;2;False;12.769973754882812;0.02026810383796692;20.26922106742859;0.019835859069979783;155.65348482131958;1000;924;0.924;500;424;0;0.848;500;500;76;1.0;7847;3741;0.47674270421817255;7012;3231;325;0.460781517398745;835;510;3781;0.6107784431137725;2379;290;2089;
500/500;2;True;12.44193696975708;0.02698571228981018;26.986375331878662;0.027620316098659104;216.73765230178833;1000;937;0.937;500;484;47;0.968;500;453;16;0.906;7847;4835;0.6161590416719765;7012;4468;468;0.6371933827723902;835;367;2544;0.43952095808383235;0;0;0;
500/500;5;False;8.798614025115967;0.013203365802764893;13.204402923583984;0.013012200628129696;102.10843849182129;1000;954;0.954;500;454;0;0.908;500;500;46;1.0;7847;3880;0.49445648018350963;7012;3389;344;0.48331431831146604;835;491;3623;0.5880239520958084;2054;239;1815;
500/500;5;True;8.973110437393188;0.014844449758529664;14.84510064125061;0.01744695613380297;136.90734195709229;1000;970;0.97;500;492;22;0.984;500;478;8;0.956;7847;4824;0.6147572320632089;7012;4463;474;0.6364803194523674;835;361;2549;0.43233532934131735;0;0;0;
500/500;8;False;7.996436595916748;0.010650816202163696;10.651509761810303;0.010707061367003314;84.01907062530518;1000;974;0.974;500;474;0;0.948;500;500;26;1.0;7847;3989;0.5083471390340257;7012;3517;363;0.5015687393040502;835;472;3495;0.5652694610778443;1756;208;1548;
500/500;8;True;8.534025430679321;0.011509449243545532;11.51007342338562;0.013143612196965932;103.13854575157166;1000;982;0.982;500;496;14;0.992;500;486;4;0.972;7847;4841;0.6169236650949408;7012;4489;483;0.640188248716486;835;352;2523;0.4215568862275449;0;0;0;
500/500;10;False;7.936777830123901;0.010369675397872926;10.370323419570923;0.010261637945455914;80.52441072463989;1000;984;0.984;500;484;0;0.968;500;500;16;1.0;7847;4041;0.5149738753663821;7012;3568;362;0.5088419851682829;835;473;3444;0.5664670658682635;1692;208;1484;
500/500;10;True;8.076667547225952;0.01070112919807434;10.70177149772644;0.012595044984716633;98.83463740348816;1000;991;0.991;500;496;5;0.992;500;495;4;0.99;7847;4855;0.6187077864151905;7012;4501;481;0.6418996006845408;835;354;2511;0.4239520958083832;0;0;0;
