data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;29.302193880081177;0.023990033388137818;47.98080778121948;0.024250019845002475;359.16818261146545;2000;1655;0.8275;1000;655;0;0.655;1000;1000;345;1.0;14811;6145;0.4148943352913375;12827;4760;599;0.37109222733296954;1984;1385;8067;0.6980846774193549;6218;954;5264;
1000/1000;2;True;30.760247468948364;0.04612355124950409;92.24776649475098;0.04245968771595755;628.8710749149323;2000;1761;0.8805;1000;940;179;0.94;1000;821;60;0.821;14811;8732;0.589561812166633;12827;7879;1131;0.6142511888984175;1984;853;4948;0.42993951612903225;0;0;0;
1000/1000;5;False;22.59759283065796;0.016558778166770934;33.11948537826538;0.01759078648980388;260.5377404689789;2000;1775;0.8875;1000;775;0;0.775;1000;1000;225;1.0;14811;6432;0.4342718249949362;12827;5133;685;0.40017151321431355;1984;1299;7694;0.6547379032258065;5227;782;4445;
1000/1000;5;True;22.80980920791626;0.025075441122055054;50.151700258255005;0.028113931801790615;416.396605014801;2000;1841;0.9205;1000;959;118;0.959;1000;882;41;0.882;14811;8644;0.5836202822226724;12827;7807;1147;0.6086380291572464;1984;837;5020;0.421875;0;0;0;
1000/1000;8;False;22.55067276954651;0.015918877601623534;31.838817358016968;0.014737518848972682;218.27856492996216;2000;1862;0.931;1000;862;0;0.862;1000;1000;138;1.0;14811;6668;0.4502059280264668;12827;5414;730;0.4220784283152725;1984;1254;7413;0.6320564516129032;4599;693;3906;
1000/1000;8;True;21.853085041046143;0.018190397143363953;36.382240295410156;0.020382990385404146;301.89349365234375;2000;1903;0.9515;1000;983;80;0.983;1000;920;17;0.92;14811;8595;0.580311930322058;12827;7723;1112;0.602089342792547;1984;872;5104;0.43951612903225806;0;0;0;
1000/1000;10;False;21.173150300979614;0.014210214734077454;28.42116904258728;0.014185851272697364;210.10833525657654;2000;1895;0.9475;1000;895;0;0.895;1000;1000;105;1.0;14811;6685;0.4513537235838228;12827;5440;739;0.42410540266625085;1984;1245;7387;0.6275201612903226;4196;611;3585;
1000/1000;10;True;21.109006643295288;0.016328595399856566;32.658655405044556;0.018227753202337778;269.9719891548157;2000;1916;0.958;1000;981;65;0.981;1000;935;19;0.935;14811;8478;0.5724123961920194;12827;7571;1077;0.5902393388945194;1984;907;5256;0.4571572580645161;0;0;0;
