data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;34.50403141975403;0.02860368585586548;57.21011424064636;0.025308986401526918;1868.4128754138947;2000;1684;0.842;1000;684;0;0.684;1000;1000;316;1.0;73824;29892;0.40490897269180753;64702;23179;2409;0.3582424036351272;9122;6713;41523;0.7359131769348827;37943;5799;32144;
1000/1000;2;True;32.642393350601196;0.0781009840965271;156.2027132511139;0.07631429153045226;5633.828274726868;2000;1625;0.8125;1000;940;315;0.94;1000;685;60;0.685;73824;48337;0.6547599696575639;64702;45629;6414;0.7052177676115112;9122;2708;19073;0.29686472264854197;0;0;0;
1000/1000;5;False;23.999133110046387;0.01689905369281769;33.79872798919678;0.018422274224986542;1360.006629228592;2000;1697;0.8485;1000;697;0;0.697;1000;1000;303;1.0;73824;30362;0.41127546597312525;64702;23738;2498;0.36688201292077527;9122;6624;40964;0.7261565446174084;37007;5679;31328;
1000/1000;5;True;25.395190477371216;0.047676936507225036;95.35451865196228;0.044413545012706585;3278.786516427994;2000;1641;0.8205;1000;937;296;0.937;1000;704;63;0.704;73824;47967;0.6497480494148244;64702;45168;6323;0.6980927946585886;9122;2799;19534;0.30684060513045386;0;0;0;
1000/1000;8;False;20.368513345718384;0.015376758813858032;30.754985570907593;0.014784657446837912;1091.4638698101044;2000;1714;0.857;1000;714;0;0.714;1000;1000;286;1.0;73824;30411;0.4119392067620286;64702;23804;2515;0.3679020741244475;9122;6607;40898;0.7242929182196887;36455;5584;30871;
1000/1000;8;True;20.746598958969116;0.03146237897872925;62.92637515068054;0.02988676243353882;2206.3610146045685;2000;1665;0.8325;1000;945;280;0.945;1000;720;55;0.72;73824;47621;0.6450612267013437;64702;44680;6181;0.6905505239405273;9122;2941;20022;0.3224073668055251;0;0;0;
1000/1000;10;False;20.817031621932983;0.01358629846572876;27.174344778060913;0.013777512361024643;1017.1129412651062;2000;1713;0.8565;1000;713;0;0.713;1000;1000;287;1.0;73824;30480;0.4128738621586476;64702;23908;2550;0.36950944329387037;9122;6572;40794;0.7204560403420303;36259;5530;30729;
1000/1000;10;True;21.152925729751587;0.02871904718875885;57.439433336257935;0.029338401955833773;2165.8788180351257;2000;1671;0.8355;1000;946;275;0.946;1000;725;54;0.725;73824;47640;0.6453185955786735;64702;44746;6228;0.6915705851441996;9122;2894;19956;0.31725498794124096;0;0;0;
