data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;0.014840364456176758;0.0008515596389770507;0.008592844009399414;0.0008341374072262775;151.87149381637573;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;83750;0.4599879167353216;154341;67736;11715;0.4388723670314434;27729;16014;86605;0.5775181218219193;41438;6554;34884;
5/5;1;True;0.006455183029174805;0.0008690595626831054;0.008793115615844727;0.00117458210959429;213.85621786117554;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108288;0.594760257043994;154341;98069;17510;0.6354047207158176;27729;10219;56272;0.36853114068303944;0;0;0;
5/5;2;False;0.004465579986572266;0.0005975723266601563;0.006018877029418945;0.0006043683508969731;110.03741693496704;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98390;0.5403965507771736;154341;86153;15492;0.5581990527468398;27729;12237;68188;0.44130693497782103;28963;4523;24440;
5/5;2;True;0.004735231399536133;0.0006587982177734375;0.006633281707763672;0.0007588719171924333;138.16785049438477;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114055;0.6264348876805624;154341;105528;19202;0.6837327735339281;27729;8527;48813;0.30751199105629484;0;0;0;
5/5;3;False;0.004061222076416016;0.0005165576934814453;0.0051953792572021484;0.0005278104663831487;96.09850597381592;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;89509;0.4916186082276048;154341;74386;12606;0.48195877958546335;27729;15123;79955;0.5453856972844314;37666;6086;31580;
5/5;3;True;0.004014730453491211;0.0005182504653930664;0.005213022232055664;0.0006641944341135227;120.9299213886261;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110053;0.6044543307519086;154341;99895;17571;0.6472356664787711;27729;10158;54446;0.3663312777236828;3;0;3;
5/5;4;False;0.003706216812133789;0.00048174858093261717;0.004843950271606445;0.0005011749547808673;91.24897241592407;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98700;0.5420991926182238;154341;86263;15292;0.5589117603229213;27729;12437;68078;0.4485196004183346;31138;4876;26262;
5/5;4;True;0.003929615020751953;0.0004973173141479492;0.0050182342529296875;0.0006073881427846395;110.58721208572388;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112032;0.6153237765694514;154341;102809;18506;0.6661159380851491;27729;9223;51532;0.33261206678928196;41;5;36;
5/5;5;False;0.003651857376098633;0.00046155452728271487;0.0046482086181640625;0.00046754962249427335;85.12681150436401;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;89085;0.489289833580491;154341;74488;13132;0.4826196538832844;27729;14597;79853;0.5264163871758808;38034;5950;32084;
5/5;5;True;0.003750324249267578;0.00045194625854492185;0.004560708999633789;0.0005700859879716693;103.79563236236572;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;106544;0.5851815235898281;154341;96105;17290;0.6226796509028709;27729;10439;58236;0.3764650726676043;19;4;15;
