data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;32.45605516433716;0.02542188775539398;50.85120940208435;0.024822311868693672;490.34068036079407;2000;1722;0.861;1000;722;0;0.722;1000;1000;278;1.0;19754;9296;0.47058823529411764;17442;7866;882;0.45098039215686275;2312;1430;9576;0.6185121107266436;7798;1134;6664;
1000/1000;2;True;30.976089477539062;0.049130332231521606;98.26224541664124;0.04706094955835577;929.6427619457245;2000;1711;0.8555;1000;948;237;0.948;1000;763;52;0.763;19754;12962;0.6561709020957781;17442;12260;1610;0.702901043458319;2312;702;5182;0.3036332179930796;0;0;0;
1000/1000;5;False;24.717445850372314;0.018556318879127502;37.113664627075195;0.017758872135575997;350.8099775314331;2000;1814;0.907;1000;814;0;0.814;1000;1000;186;1.0;19754;9649;0.488458033815936;17442;8262;925;0.47368421052631576;2312;1387;9180;0.5999134948096886;6771;986;5785;
1000/1000;5;True;23.563092470169067;0.02519682240486145;50.400179386138916;0.025614471489617707;505.98967242240906;2000;1809;0.9045;1000;970;161;0.97;1000;839;30;0.839;19754;12743;0.6450845398400324;17442;11957;1526;0.6855291824332072;2312;786;5485;0.3399653979238754;0;0;0;
1000/1000;8;False;20.35755443572998;0.013880120635032654;27.760947942733765;0.013972379930277423;276.01156735420227;2000;1883;0.9415;1000;883;0;0.883;1000;1000;117;1.0;19754;9922;0.5022780196415916;17442;8608;998;0.493521385162252;2312;1314;8834;0.5683391003460208;6033;855;5178;
1000/1000;8;True;20.913952112197876;0.01765886378288269;35.32006001472473;0.019381183572320958;382.85663080215454;2000;1865;0.9325;1000;976;111;0.976;1000;889;24;0.889;19754;12706;0.6432115014680571;17442;11901;1507;0.6823185414516684;2312;805;5541;0.3481833910034602;0;0;0;
1000/1000;10;False;20.312669277191162;0.013582353472709656;27.165477752685547;0.01365104340295192;269.66336965560913;2000;1905;0.9525;1000;905;0;0.905;1000;1000;95;1.0;19754;9992;0.505821605750734;17442;8688;1008;0.49810801513587893;2312;1304;8754;0.5640138408304498;5715;803;4912;
1000/1000;10;True;20.465422868728638;0.016571126103401185;33.14497709274292;0.018210606680257223;359.73346638679504;2000;1891;0.9455;1000;984;93;0.984;1000;907;16;0.907;19754;12621;0.6389085754783841;17442;11781;1472;0.6754385964912281;2312;840;5661;0.3633217993079585;0;0;0;
