data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
500/500;2;False;10.304739713668823;0.01640014624595642;16.401742935180664;0.015954625495878453;94.53206610679626;1000;910;0.91;500;410;0;0.82;500;500;90;1.0;5925;2680;0.45232067510548524;5378;2353;220;0.4375232428412049;547;327;3025;0.5978062157221207;1923;180;1743;
500/500;2;True;10.000932693481445;0.02299638342857361;22.997912168502808;0.02534764716393837;150.18540811538696;1000;936;0.936;500;481;45;0.962;500;455;19;0.91;5925;3531;0.5959493670886076;5378;3283;299;0.610449981405727;547;248;2095;0.453382084095064;0;0;0;
500/500;5;False;8.36766242980957;0.012701518058776855;12.702486991882324;0.012434905088400538;73.6786425113678;1000;955;0.955;500;455;0;0.91;500;500;45;1.0;5925;2810;0.4742616033755274;5378;2500;237;0.46485682409817775;547;310;2878;0.56672760511883;1589;131;1458;
500/500;5;True;8.797460556030273;0.014562992811203003;14.563719987869263;0.016028048961977414;94.96764826774597;1000;970;0.97;500;491;21;0.982;500;479;9;0.958;5925;3557;0.600337552742616;5378;3297;287;0.6130531796206768;547;260;2081;0.4753199268738574;0;0;0;
500/500;8;False;8.00351095199585;0.010470916986465455;10.471531629562378;0.01031138750068246;61.09630012512207;1000;980;0.98;500;480;0;0.96;500;500;20;1.0;5925;2860;0.48270042194092827;5378;2528;215;0.47006322052807736;547;332;2850;0.6069469835466179;1400;141;1259;
500/500;8;True;8.01679253578186;0.011217572927474976;11.21962285041809;0.013637731165825567;80.8050696849823;1000;988;0.988;500;498;10;0.996;500;490;2;0.98;5925;3473;0.5861603375527427;5378;3203;277;0.5955745630345853;547;270;2175;0.4936014625228519;0;0;0;
500/500;10;False;7.6235315799713135;0.01008668875694275;10.088473796844482;0.009888693612336106;58.59137415885925;1000;987;0.987;500;487;0;0.974;500;500;13;1.0;5925;2709;0.45721518987341775;5378;2361;199;0.43901078467831905;547;348;3017;0.6361974405850092;1321;135;1186;
500/500;10;True;7.268725395202637;0.009701597452163696;9.702228546142578;0.012197088289864455;72.26948833465576;1000;991;0.991;500;499;8;0.998;500;492;1;0.984;5925;3314;0.559324894514768;5378;3044;277;0.5660096690219413;547;270;2334;0.4936014625228519;0;0;0;
