data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;24.32110857963562;0.01840873658657074;36.81906032562256;0.0180872483433649;724.2690455913544;2000;1759;0.8795;1000;759;0;0.759;1000;1000;241;1.0;40043;19894;0.4968159228829009;33739;15864;2274;0.47019769406325024;6304;4030;17875;0.6392766497461929;16513;3340;13173;
1000/1000;2;True;25.12838912010193;0.03923295545578003;78.46783542633057;0.037113087972084596;1486.1216406822205;2000;1662;0.831;1000;966;304;0.966;1000;696;34;0.696;40043;27028;0.6749744025172939;33739;25435;4711;0.753875337146922;6304;1593;8304;0.2526967005076142;0;0;0;
1000/1000;5;False;20.536501169204712;0.01432322907447815;28.647655248641968;0.01391714717697419;557.2858519554138;2000;1790;0.895;1000;790;0;0.79;1000;1000;210;1.0;40043;20169;0.5036835401942912;33739;16196;2331;0.48003793829099856;6304;3973;17543;0.6302347715736041;15967;3249;12718;
1000/1000;5;True;19.909238576889038;0.024080832839012144;48.16338229179382;0.023898719053294867;956.9781587123871;2000;1700;0.85;1000;968;268;0.968;1000;732;32;0.732;40043;26956;0.6731763354394027;33739;25325;4673;0.7506150152642342;6304;1631;8414;0.2587246192893401;0;0;0;
1000/1000;8;False;18.309471368789673;0.012173611283302308;24.34804391860962;0.012066751165537437;483.1908128261566;2000;1818;0.909;1000;818;0;0.818;1000;1000;182;1.0;40043;20015;0.4998376744999126;33739;16079;2368;0.47657014137941256;6304;3936;17660;0.6243654822335025;15617;3155;12462;
1000/1000;8;True;18.14021372795105;0.01953832221031189;39.07738161087036;0.019323414279379586;773.7703649997711;2000;1738;0.869;1000;980;242;0.98;1000;758;20;0.758;40043;26695;0.6666583422820468;33739;25035;4644;0.7420196212098759;6304;1660;8704;0.2633248730964467;0;0;0;
1000/1000;10;False;17.755136489868164;0.011736448884010315;23.473831176757812;0.011735349971717034;469.9201650619507;2000;1829;0.9145;1000;829;0;0.829;1000;1000;171;1.0;40043;20139;0.5029343455785031;33739;16252;2417;0.481697738522185;6304;3887;17487;0.6165926395939086;15371;3053;12318;
1000/1000;10;True;18.02346897125244;0.018622284650802613;37.2463641166687;0.018414238832173337;737.3626182079315;2000;1748;0.874;1000;976;228;0.976;1000;772;24;0.772;40043;26862;0.6708288589766002;33739;25151;4593;0.7454577788316192;6304;1711;8588;0.2714149746192893;0;0;0;
