data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;29.571980237960815;0.021230854392051697;42.46264410018921;0.021034297919459245;415.5124042034149;2000;1724;0.862;1000;724;0;0.724;1000;1000;276;1.0;19754;9428;0.47727042624278626;17442;8008;892;0.4591216603600505;2312;1420;9434;0.6141868512110726;7820;1130;6690;
1000/1000;2;True;29.932953119277954;0.042055214762687684;84.1128306388855;0.039406061281109794;778.428240776062;2000;1707;0.8535;1000;956;249;0.956;1000;751;44;0.751;19754;13137;0.6650298673686342;17442;12439;1614;0.7131636280243091;2312;698;5003;0.30190311418685123;0;0;0;
1000/1000;5;False;23.175673246383667;0.01699255669116974;33.98572397232056;0.01699241997320135;335.6699619293213;2000;1802;0.901;1000;802;0;0.802;1000;1000;198;1.0;19754;9671;0.48957173230738077;17442;8337;978;0.477984176126591;2312;1334;9105;0.5769896193771626;6968;995;5973;
1000/1000;5;True;24.04347038269043;0.02714838099479675;54.298314809799194;0.02706698106708007;534.6826338768005;2000;1783;0.8915;1000;963;180;0.963;1000;820;37;0.82;19754;12999;0.6580439404677534;17442;12294;1607;0.7048503611971104;2312;705;5148;0.30493079584775085;0;0;0;
1000/1000;8;False;22.20699167251587;0.014688715577125548;29.379385709762573;0.014211169341151937;280.72820377349854;2000;1847;0.9235;1000;847;0;0.847;1000;1000;153;1.0;19754;9820;0.497114508453984;17442;8451;943;0.4845201238390093;2312;1369;8991;0.592128027681661;6412;930;5482;
1000/1000;8;True;22.520509004592896;0.019768555641174315;39.540600061416626;0.0201175611994582;397.4038736820221;2000;1847;0.9235;1000;973;126;0.973;1000;874;27;0.874;19754;12822;0.6490837298774932;17442;12014;1504;0.6887971562894164;2312;808;5428;0.3494809688581315;0;0;0;
1000/1000;10;False;19.079020500183105;0.012603179931640625;25.20797872543335;0.01381759960013893;272.95342683792114;2000;1880;0.94;1000;880;0;0.88;1000;1000;120;1.0;19754;9945;0.5034423407917383;17442;8632;999;0.4948973741543401;2312;1313;8810;0.5679065743944637;5953;833;5120;
1000/1000;10;True;20.176127195358276;0.01804098391532898;36.08311200141907;0.018648244246691117;368.3780643939972;2000;1874;0.937;1000;981;107;0.981;1000;893;19;0.893;19754;12751;0.6454895211096486;17442;11952;1513;0.6852425180598555;2312;799;5490;0.34558823529411764;0;0;0;
