data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
100/100;2;False;1.354799747467041;0.01047916293144226;2.0967535972595215;0.010947350459383817;21.79753875732422;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1187;0.5961828227021597;1920;1160;44;0.6041666666666666;71;27;760;0.38028169014084506;310;9;301;
100/100;2;True;1.5234944820404053;0.012359895706176759;2.4730756282806396;0.013269179912741492;26.419819593429565;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1386;0.6961325966850829;1920;1362;47;0.709375;71;24;558;0.3380281690140845;0;0;0;
100/100;5;False;0.9634590148925781;0.0070559453964233396;1.4117865562438965;0.007052689326701602;14.042813539505005;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1222;0.6137619286790558;1920;1194;43;0.621875;71;28;726;0.39436619718309857;269;8;261;
100/100;5;True;1.0087320804595947;0.007577599287033081;1.5161285400390625;0.00835328267364272;16.632266521453857;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1386;0.6961325966850829;1920;1360;45;0.7083333333333334;71;26;560;0.36619718309859156;0;0;0;
100/100;8;False;0.8977234363555908;0.006093223094940186;1.2193410396575928;0.00583755640693791;11.623569965362549;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1226;0.6157709693621296;1920;1200;45;0.625;71;26;720;0.36619718309859156;271;5;266;
100/100;8;True;0.8843812942504883;0.00605355978012085;1.2113680839538574;0.006859682242155434;13.658266544342041;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1402;0.7041687594173782;1920;1380;49;0.71875;71;22;540;0.30985915492957744;0;0;0;
100/100;10;False;0.8838727474212646;0.005913666486740112;1.1836490631103516;0.005788255971260013;11.525343656539917;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1190;0.5976896032144651;1920;1161;42;0.6046875;71;29;759;0.4084507042253521;245;8;237;
100/100;10;True;0.8649089336395264;0.005614827871322631;1.123845100402832;0.006535900231883012;13.013768672943115;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1316;0.6609743847312908;1920;1291;46;0.6723958333333333;71;25;629;0.352112676056338;0;0;0;
