data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
10/10;5;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;98329;0.5400911787322861;154336;85320;14715;0.5528198216877462;27724;13009;69016;0.46923243399220893;
10/10;7;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;87058;0.47818301658793805;154336;71915;12581;0.4659638710346258;27724;15143;82421;0.5462054537584764;
10/10;7;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96640;0.5308140173569154;154336;83617;14701;0.5417854551109268;27724;13023;70719;0.4697374116289136;
10/10;10;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;92184;0.506338569702296;154336;78094;13634;0.505999896330085;27724;14090;76242;0.5082239215120473;
10/10;10;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;101612;0.558123695485005;154336;89629;15741;0.580739425668671;27724;11983;64707;0.43222478718799595;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;75301;0.4136054048116006;154336;57362;9785;0.37166960398092475;27724;17939;96974;0.6470567017746357;
10/10;20;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;77305;0.42461276502252004;154336;59804;10223;0.3874922247563757;27724;17501;94532;0.6312581157120185;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;56763;0.3117818301658794;154336;35000;5961;0.22677793904208998;27724;21763;119336;0.7849877362573943;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;58306;0.3202570581127101;154336;36864;6282;0.238855484138503;27724;21442;117472;0.7734093204443803;
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44158;0.24254641327035042;154336;19832;3398;0.1284988596309351;27724;24326;134504;0.8774347136055404;
10/10;30;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44158;0.24254641327035042;154336;19832;3398;0.1284988596309351;27724;24326;134504;0.8774347136055404;
10/10;50;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;30035;0.16497308579589146;154336;2767;456;0.017928415923698943;27724;27268;151569;0.9835521569759054;
10/10;50;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;30035;0.16497308579589146;154336;2767;456;0.017928415923698943;27724;27268;151569;0.9835521569759054;
10/10;100;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27812;0.15276282544216194;154336;110;22;0.0007127306655608542;27724;27702;154226;0.9992064637137498;
10/10;100;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27812;0.15276282544216194;154336;110;22;0.0007127306655608542;27724;27702;154226;0.9992064637137498;
20/20;1;False;40;29;0.725;20;9;0;0.45;20;20;11;1.0;182040;73703;0.4048725554823116;154326;56481;10492;0.36598499280743363;27714;17222;97845;0.6214187775131702;
20/20;1;True;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;127079;0.6980828389364975;154326;120959;21594;0.7837888625377448;27714;6120;33367;0.22082701883524572;
20/20;2;False;40;33;0.825;20;13;0;0.65;20;20;7;1.0;182040;85295;0.46855086794111184;154326;70052;12471;0.45392221660640464;27714;15243;84274;0.5500108248538644;
20/20;2;True;40;37;0.925;20;20;3;1.0;20;17;0;0.85;182040;113827;0.6252856515051637;154326;104520;18407;0.6772676023482758;27714;9307;49806;0.3358230497221621;
20/20;4;False;40;36;0.9;20;16;0;0.8;20;20;4;1.0;182040;90672;0.4980883322346737;154326;76222;13264;0.4939025180462139;27714;14450;78104;0.5213971278054413;
20/20;4;True;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;104860;0.5760272467589541;154326;93332;16186;0.6047717170146314;27714;11528;60994;0.41596305116547594;
20/20;5;False;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;85634;0.47041309602285214;154326;70193;12273;0.45483586693104205;27714;15441;84133;0.5571552284044166;
20/20;5;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93675;0.5145847066578774;154326;79803;13842;0.5171066443761907;27714;13872;74523;0.5005412426932236;
20/20;7;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;87040;0.47813667325862447;154326;71801;12475;0.46525536850563093;27714;15239;82525;0.5498664934690048;
20/20;7;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;92071;0.5057734563832125;154326;77917;13560;0.5048857613104726;27714;14154;76409;0.5107166053258281;
20/20;10;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;76151;0.4183201494177104;154326;58322;9885;0.377914285344012;27714;17829;96004;0.6433210651656203;
20/20;10;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;81176;0.445923972753241;154326;64349;10887;0.41696797688011095;27714;16827;89977;0.607166053258281;
20/20;20;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;69557;0.3820973412436827;154326;50024;8181;0.3241449917706673;27714;19533;104302;0.704806235115826;
20/20;20;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;72502;0.39827510437266533;154326;53497;8709;0.346649300830709;27714;19005;100829;0.6857544923143537;
