data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
500/500;2;False;11.172917366027832;0.016571142196655272;16.57276463508606;0.016400007164309675;128.69146847724915;1000;908;0.908;500;408;0;0.816;500;500;92;1.0;7847;3612;0.46030330062444247;7012;3092;315;0.4409583571021107;835;520;3920;0.6227544910179641;2446;299;2147;
500/500;2;True;11.813311100006104;0.024818532943725585;24.82092022895813;0.026031726026772024;204.272141456604;1000;941;0.941;500;484;43;0.968;500;457;16;0.914;7847;4707;0.5998470753154072;7012;4338;466;0.6186537364517969;835;369;2674;0.4419161676646707;0;0;0;
500/500;5;False;8.934523105621338;0.012463295459747314;12.464189767837524;0.01284825423575973;100.82261395454407;1000;949;0.949;500;449;0;0.898;500;500;51;1.0;7847;3758;0.4789091372499044;7012;3267;344;0.4659155733029093;835;491;3745;0.5880239520958084;2142;262;1880;
500/500;5;True;9.973989963531494;0.01601766586303711;16.018666982650757;0.018406401443773125;144.4356837272644;1000;964;0.964;500;489;25;0.978;500;475;11;0.95;7847;4751;0.6054543137504779;7012;4413;497;0.6293496862521392;835;338;2599;0.40479041916167663;0;0;0;
500/500;8;False;8.582842826843262;0.011583152770996094;11.58375334739685;0.010669766861541386;83.72682046890259;1000;965;0.965;500;465;0;0.93;500;500;35;1.0;7847;3872;0.493436982286224;7012;3372;335;0.48088990302338847;835;500;3640;0.5988023952095808;1897;219;1678;
500/500;8;True;8.169776439666748;0.011639762163162232;11.64040994644165;0.014019921735333564;110.01577091217041;1000;982;0.982;500;493;11;0.986;500;489;7;0.978;7847;4717;0.6011214476870141;7012;4340;458;0.618938961779806;835;377;2672;0.45149700598802395;0;0;0;
500/500;10;False;7.999358892440796;0.010475836515426636;10.477213382720947;0.010490418057753446;82.31926655769348;1000;977;0.977;500;477;0;0.954;500;500;23;1.0;7847;4015;0.511660507200204;7012;3537;357;0.5044209925841415;835;478;3475;0.5724550898203593;1760;207;1553;
500/500;10;True;7.884558439254761;0.010513352870941161;10.514153957366943;0.013083331247978459;102.6658616065979;1000;990;0.99;500;497;7;0.994;500;493;3;0.986;7847;4793;0.6108066777112272;7012;4409;451;0.6287792355961209;835;384;2603;0.4598802395209581;0;0;0;
