data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
5/5;1;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112080;0.6155874114351623;154341;102620;18269;0.6648913768862454;27729;9460;51721;0.34115907533629053;
5/5;1;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108288;0.594760257043994;154341;98069;17510;0.6354047207158176;27729;10219;56272;0.36853114068303944;
5/5;2;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118307;0.6497885428681276;154341;110593;20015;0.7165497178325915;27729;7714;43748;0.2781925060406073;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114055;0.6264348876805624;154341;105528;19202;0.6837327735339281;27729;8527;48813;0.30751199105629484;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120086;0.6595595100785412;154341;112525;20168;0.7290674545324962;27729;7561;41816;0.27267481697861445;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112063;0.6154940407535563;154341;102845;18511;0.6663491878373212;27729;9218;51496;0.33243175015326915;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115219;0.6328280331740539;154341;106572;19082;0.6904970163469202;27729;8647;47769;0.311839590320603;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;106555;0.5852419399132202;154341;96120;17294;0.6227768382996093;27729;10435;58221;0.376320819358794;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;104947;0.576410171911902;154341;94214;16996;0.610427559754051;27729;10733;60127;0.38706769086515924;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;98381;0.5403471192398528;154341;86268;15616;0.5589441561218341;27729;12113;68073;0.43683508240470265;
5/5;10;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;122299;0.671714175866425;154341;115827;21257;0.7504616401345073;27729;6472;38514;0.2334018536550182;
5/5;10;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112620;0.618553303674411;154341;104081;19190;0.6743574293285647;27729;8539;50260;0.30794475098272567;
5/5;20;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;123998;0.681045751633987;154341;117601;21332;0.7619556695887677;27729;6397;36740;0.23069710411482564;
5/5;20;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115355;0.6335749986269017;154341;106925;19299;0.6927841597501636;27729;8430;47416;0.3040138483176458;
5/5;25;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;119175;0.654555940023068;154341;112103;20657;0.7263332491042561;27729;7072;42238;0.2550398499765588;
5/5;25;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;116237;0.6384192892843412;154341;108533;20025;0.7032026486805191;27729;7704;45808;0.2778318727685816;
5/5;30;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;136271;0.7484538913604658;154341;132981;24439;0.8616051470445313;27729;3290;21360;0.11864834649644776;
