data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
100/100;2;False;1.2088360786437988;0.009677414894104003;1.9383995532989502;0.009106255846967176;18.131706714630127;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1141;0.5730788548468106;1920;1107;37;0.5765625;71;34;813;0.4788732394366197;317;17;300;
100/100;2;True;1.2296254634857178;0.009496098756790161;1.9000802040100098;0.01103615365634307;21.974812030792236;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1325;0.6654947262682069;1920;1299;45;0.6765625;71;26;621;0.36619718309859156;0;0;0;
100/100;5;False;0.9366412162780762;0.0068029952049255375;1.3629305362701416;0.007114991777689238;14.167055368423462;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1249;0.6273229532898041;1920;1224;46;0.6375;71;25;696;0.352112676056338;278;10;268;
100/100;5;True;1.017735481262207;0.008153373003005981;1.6325979232788086;0.008567280771743107;17.058632373809814;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1416;0.7112004018081366;1920;1395;50;0.7265625;71;21;525;0.29577464788732394;0;0;0;
100/100;8;False;0.9542207717895508;0.005778069496154785;1.1575467586517334;0.00600140026500631;11.951869487762451;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1109;0.55700652938222;1920;1066;28;0.5552083333333333;71;43;854;0.6056338028169014;293;14;279;
100/100;8;True;0.9884271621704102;0.006335867643356323;1.2677793502807617;0.0066881467205145324;13.318691968917847;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1283;0.6443997990959317;1920;1247;35;0.6494791666666667;71;36;673;0.5070422535211268;0;0;0;
100/100;10;False;0.9201328754425049;0.005549638271331787;1.1108930110931396;0.005644593748957712;11.239061117172241;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1096;0.5504771471622301;1920;1065;40;0.5546875;71;31;855;0.43661971830985913;270;8;262;
100/100;10;True;0.8818633556365967;0.005730451345443726;1.1475756168365479;0.006419036569216933;12.782812356948853;200;200;1.0;100;100;0;1.0;100;100;0;1.0;1991;1247;0.6263184329482672;1920;1221;45;0.6359375;71;26;699;0.36619718309859156;0;0;0;
