data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
1000/1000;2;False;29.498398065567017;0.02480367386341095;49.60792684555054;0.02397688568863446;960.1074347496033;2000;1761;0.8805;1000;761;0;0.761;1000;1000;239;1.0;40043;19656;0.4908723122643159;33739;15595;2243;0.4622247250955867;6304;4061;18144;0.6441941624365483;16582;3339;13243;
1000/1000;2;True;28.87478256225586;0.05098371148109436;101.96808934211731;0.046700552204517805;1870.0316293239594;2000;1659;0.8295;1000;966;307;0.966;1000;693;34;0.693;40043;26808;0.6694803086681818;33739;25165;4661;0.7458727288894158;6304;1643;8574;0.2606281725888325;0;0;0;
1000/1000;5;False;23.93041181564331;0.01723941969871521;34.47959351539612;0.017231747978047926;690.0123336315155;2000;1790;0.895;1000;790;0;0.79;1000;1000;210;1.0;40043;19774;0.4938191444197488;33739;15724;2254;0.4660481934852841;6304;4050;18015;0.6424492385786802;16024;3230;12794;
1000/1000;5;True;24.82935667037964;0.03276376640796661;65.52887344360352;0.02987006371324273;1196.0923087596893;2000;1692;0.846;1000;967;275;0.967;1000;725;33;0.725;40043;26665;0.6659091476662587;33739;24942;4581;0.7392631672545126;6304;1723;8797;0.27331852791878175;0;0;0;
1000/1000;8;False;20.38004779815674;0.013840933322906495;27.68252682685852;0.013870323698346147;555.4105734825134;2000;1826;0.913;1000;826;0;0.826;1000;1000;174;1.0;40043;20097;0.5018854731163999;33739;16103;2310;0.47728148433563533;6304;3994;17636;0.6335659898477157;15443;3137;12306;
1000/1000;8;True;21.100534200668335;0.022276121854782106;44.55316996574402;0.022421414132355554;897.8216667175293;2000;1732;0.866;1000;975;243;0.975;1000;757;25;0.757;40043;26603;0.6643608121269635;33739;24817;4518;0.7355582560241857;6304;1786;8922;0.28331218274111675;0;0;0;
1000/1000;10;False;20.661937952041626;0.013566050887107849;27.13272786140442;0.013555797661166208;542.8154423236847;2000;1836;0.918;1000;836;0;0.836;1000;1000;164;1.0;40043;20304;0.5070549159653372;33739;16406;2406;0.4862621891579478;6304;3898;17333;0.6183375634517766;14990;3015;11975;
1000/1000;10;True;21.06477189064026;0.021395629167556763;42.79223918914795;0.02172418918785383;869.903605222702;2000;1741;0.8705;1000;970;229;0.97;1000;771;30;0.771;40043;26662;0.66583422820468;33739;24910;4552;0.7383147099795488;6304;1752;8829;0.2779187817258883;0;0;0;
