data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;0.013009071350097656;0.0007818937301635742;0.007903814315795898;0.0008110955813417274;147.6762969493866;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114598;0.629417257098918;154341;105490;18621;0.6834865654621909;27729;9108;48851;0.3284647841609867;18416;3044;15372;
5/5;1;True;0.006278514862060547;0.0010640859603881837;0.010753393173217773;0.000991322203693944;180.49010682106018;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;0;0;0;
5/5;2;False;0.004458189010620117;0.0005754470825195312;0.005810260772705078;0.0005908720993672222;107.58018279075623;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;121519;0.6674301092986215;154341;114165;20375;0.7396932765758937;27729;7354;40176;0.2652097082476829;12343;1971;10372;
5/5;2;True;0.004457950592041016;0.0006743431091308594;0.006779670715332031;0.0006568455569085568;119.59192276000977;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;0;0;0;
5/5;3;False;0.006363868713378906;0.0005646467208862305;0.005688190460205078;0.0005127337093230704;93.35350513458252;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120751;0.6632119514472455;154341;113380;20358;0.7346071361465845;27729;7371;40961;0.26582278481012656;10343;1582;8761;
5/5;3;True;0.004029750823974609;0.0005181312561035156;0.005226612091064453;0.0005461223450079973;99.43255805969238;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124582;0.6842533091668039;154341;118094;21241;0.7651498953615695;27729;6488;36247;0.2339788668902593;0;0;0;
5/5;4;False;0.004132747650146484;0.00046100616455078123;0.0046465396881103516;0.00046155138581969915;84.03470849990845;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117665;0.6462624265392432;154341;109806;19870;0.7114506190837172;27729;7859;44535;0.2834216884849796;10173;1509;8664;
5/5;4;True;0.003975391387939453;0.00047876834869384763;0.004837989807128906;0.0004975119735483951;90.58206820487976;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120009;0.6591365958147966;154341;112563;20283;0.7293136626042335;27729;7446;41778;0.2685275343503192;2;0;2;
5/5;5;False;0.0034551620483398438;0.0004330158233642578;0.004364967346191406;0.00044152549537905506;80.38860821723938;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;109880;0.6035041467567419;154341;99978;17827;0.6477734367407235;27729;9902;54363;0.35709906595982543;10727;1650;9077;
5/5;5;True;0.003561258316040039;0.0004367351531982422;0.0044062137603759766;0.0004808045732606385;87.54015445709229;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112816;0.6196298127093974;154341;103521;18434;0.6707290998503314;27729;9295;50820;0.33520862634786686;22;1;21;
5/5;6;False;0.0035440921783447266;0.0004179716110229492;0.00421595573425293;0.00042364181296046397;77.13256192207336;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120201;0.6601911352776405;154341;112702;20230;0.7302142658140093;27729;7499;41639;0.27043889069205523;9779;1536;8243;
5/5;6;True;0.003410816192626953;0.0004197835922241211;0.004252195358276367;0.0004516695649251845;82.23557424545288;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;122270;0.6715548964683913;154341;115172;20631;0.7462177904769309;27729;7098;39169;0.2559774964838256;230;38;192;
5/5;7;False;0.0043392181396484375;0.000600123405456543;0.006046295166015625;0.0004117413002412664;74.966299533844;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110422;0.6064810237820618;154341;100803;18110;0.6531187435613349;27729;9619;53538;0.3468931443614988;11379;1708;9671;
5/5;7;True;0.003362894058227539;0.0003957509994506836;0.0039865970611572266;0.0004343374325336417;79.07987856864929;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113639;0.6241500521777339;154341;104662;18752;0.6781218211622316;27729;8977;49679;0.32374048829745034;391;58;333;
5/5;8;False;0.003208637237548828;0.00039432048797607424;0.003977060317993164;0.0004031632742339909;73.40399551391602;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;110390;0.6063052672049212;154341;100720;18059;0.6525809732993826;27729;9670;53621;0.34873237404882973;15017;2294;12723;
5/5;8;True;0.0032892227172851562;0.0003928661346435547;0.003976345062255859;0.0004328829639661304;78.81506943702698;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113988;0.6260668973471741;154341;105016;18757;0.6804154437252578;27729;8972;49325;0.32356017166143747;760;119;641;
5/5;9;False;0.003228902816772461;0.0003817319869995117;0.0038595199584960938;0.00039711471391469283;72.3027400970459;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;101679;0.5584610314714121;154341;90032;16082;0.5833317135433876;27729;11647;64309;0.4200295719283061;19367;3010;16357;
5/5;9;True;0.003332376480102539;0.00040225982666015626;0.004095792770385742;0.00043362624406775293;78.95038199424744;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;105804;0.5811171527434503;154341;94995;16920;0.61548778354423;27729;10809;59346;0.3898085037325544;1469;238;1231;
5/5;10;False;0.0031561851501464844;0.0003843545913696289;0.0038759708404541016;0.0003871163419923705;70.48233771324158;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;105978;0.5820728291316527;154341;95249;17000;0.6171334901290001;27729;10729;59092;0.38692343755634895;20898;3299;17599;
5/5;10;True;0.003134012222290039;0.0003892660140991211;0.003923654556274414;0.0004209852129582709;76.64889025688171;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;108756;0.5973306969846762;154341;98598;17571;0.6388321962407915;27729;10158;55743;0.3663312777236828;4244;650;3594;
5/5;20;False;0.004929304122924805;0.0003650665283203125;0.0036966800689697266;0.0003665042511483305;66.72948145866394;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;64608;0.3548525292469929;154341;44108;7229;0.2857827796891299;27729;20500;110233;0.739298207652638;92865;14901;77964;
5/5;20;True;0.002994537353515625;0.00036802291870117185;0.003719806671142578;0.00037987841906117774;69.16454863548279;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;64769;0.35573680452573186;154341;44296;7256;0.28700086172825107;27729;20473;110045;0.7383244978181687;90851;14525;76326;
5/5;25;False;0.003658771514892578;0.00045168399810791016;0.004581451416015625;0.00035296005138607365;64.2635247707367;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;46188;0.2536826495304004;154341;22267;3808;0.1442714508782501;27729;23921;132074;0.8626708500126221;136144;21008;115136;
5/5;25;True;0.0029692649841308594;0.0003468751907348633;0.003515958786010742;0.00035272388381777823;64.22050905227661;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;46193;0.25371011149557865;154341;22272;3808;0.1443038466771629;27729;23921;132069;0.8626708500126221;136139;21008;115131;
5/5;30;False;0.0029153823852539062;0.0003366708755493164;0.0034093856811523438;0.0003498913160546081;63.70476412773132;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;38873;0.2135057944746526;154341;13517;2373;0.08757880278085538;27729;25356;140824;0.9144217245483068;158594;24315;134279;
5/5;30;True;0.0030410289764404297;0.00033867359161376953;0.0034160614013671875;0.00034738336395391057;63.24813652038574;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;38873;0.2135057944746526;154341;13517;2373;0.08757880278085538;27729;25356;140824;0.9144217245483068;158594;24315;134279;
5/5;50;False;0.0030260086059570312;0.00033626556396484377;0.0033931732177734375;0.00033832830174617334;61.59950637817383;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;180390;27481;152909;
5/5;50;True;0.0029549598693847656;0.00033504962921142577;0.003386974334716797;0.0003356705297517339;61.11558818817139;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;180390;27481;152909;
