algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;avg_f1_score;avg_precision;avg_recall;avg_total_correct;avg_true_positives;avg_true_negatives;avg_false_positives;avg_false_negatives;list_of_accuracies;list_of_f1_scores;list_of_precisions;list_of_recalls;list_of_total_corrects;list_of_true_positives;list_of_true_negatives;list_of_false_positives;list_of_false_negatives
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;2;10;0.7115009041591319;0.7518080338255151;0.6602150393015703;0.8736698289405027;1967.3;1207.7;759.6;622.9;174.8;0.6820976491862568,0.7294755877034358,0.7092224231464738,0.6990958408679928,0.7066907775768535,0.7207956600361664,0.6867992766726944,0.7168173598553346,0.7207956600361664,0.7432188065099458;0.7257410296411856,0.7666874610106051,0.7518518518518519,0.7475728155339807,0.7427846495401206,0.7596513075965131,0.7348438456827925,0.7549295774647887,0.7626076260762608,0.7714101738570509;0.633442265795207,0.6682979880369766,0.6583783783783784,0.6473988439306358,0.6574957888826501,0.656266810112964,0.631578947368421,0.6782902137232846,0.6691851052347545,0.7018160515524312;0.8495252008765523,0.8990490124359912,0.8762589928057554,0.8844221105527639,0.8534985422740525,0.90169992609017,0.8784773060029283,0.8510938602681722,0.8863473909935669,0.856325947105075;1886,2017,1961,1933,1954,1993,1899,1982,1993,2055;1163,1229,1218,1232,1171,1220,1200,1206,1240,1198;723,788,743,701,783,773,699,776,753,857;673,610,632,671,610,639,700,572,613,509;206,138,172,161,201,133,166,211,159,201;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;3;10;0.7504159132007233;0.775302055526247;0.7061168784321421;0.8603130113169156;2074.9;1189.4;885.5;497.0;193.1;0.7609403254972875,0.6972875226039783,0.7602169981916818,0.7399638336347197,0.7146473779385172,0.776130198915009,0.7410488245931284,0.7620253164556962,0.7945750452079566,0.7573236889692586;0.7827801511666119,0.7390084190832553,0.7800995024875623,0.7616837918462049,0.7425774877650898,0.7941469903558364,0.7640079103493738,0.788831835686778,0.812293456708526,0.7875910098132319;0.7114695340501792,0.6440217391304348,0.7236923076923077,0.7075123152709359,0.6721795629060838,0.7218863361547763,0.6948441247002398,0.7233666862860506,0.7553779963122311,0.7068181818181818;0.8699780861943024,0.866861741038771,0.8460431654676259,0.8248384781048098,0.8294460641399417,0.8824833702882483,0.8484626647144948,0.8673253352152435,0.8784846318799142,0.8892065761258041;2104,1928,2102,2046,1976,2146,2049,2107,2197,2094;1191,1185,1176,1149,1138,1194,1159,1229,1229,1244;913,743,926,897,838,952,890,878,968,850;483,655,449,475,555,460,509,470,398,516;178,182,214,244,234,159,207,188,170,155;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;4;10;0.7486437613019892;0.773902043600957;0.7040369897935853;0.8600421650338793;2070.0;1189.0;881.0;501.5;193.5;0.745750452079566,0.738878842676311,0.7301989150090415,0.7739602169981917,0.7334538878842677,0.7370705244122966,0.7497287522603978,0.7732368896925859,0.7508137432188066,0.7533453887884267;0.7715307117322068,0.7628120893561103,0.7664370695053224,0.7883508296647477,0.7615658362989324,0.7655594969364721,0.7693333333333333,0.7959648551903676,0.7754969045291625,0.7819693094629157;0.6949648711943794,0.6923076923076923,0.6784922394678492,0.7461538461538462,0.6847004072134962,0.6790617848970252,0.7062423500611995,0.7385265700483091,0.7125748502994012,0.7073452862926547;0.8670562454346238,0.8493050475493782,0.8805755395683453,0.8356066044508256,0.857871720116618,0.877309682187731,0.8448023426061494,0.863091037402964,0.8506075768406004,0.8741958541815582;2062,2043,2019,2140,2028,2038,2073,2138,2076,2083;1187,1161,1224,1164,1177,1187,1154,1223,1190,1223;875,882,795,976,851,851,919,915,886,860;521,516,580,396,542,561,480,433,480,506;182,206,166,229,195,166,212,194,209,176;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;5;10;0.7486437613019892;0.7707164675999312;0.7093778704766426;0.8446413970543217;2070.0;1167.5;902.5;480.0;215.0;0.7576853526220615,0.7569620253164557,0.762748643761302,0.7670886075949367,0.72875226039783,0.7406871609403255,0.7522603978300181,0.7508137432188066,0.755877034358047,0.7135623869801085;0.7728813559322033,0.7714285714285714,0.7807486631016043,0.7884362680683311,0.7531270572745228,0.7728856509344314,0.7726518420179224,0.7722314049586777,0.7759707932293396,0.7468030690537084;0.7210626185958254,0.7209154481881754,0.7290886392009988,0.726832222895215,0.6866746698679472,0.6762749445676275,0.7067395264116576,0.7263681592039801,0.7242874845105328,0.675534991324465;0.8327246165084002,0.8295537673738113,0.8402877697841726,0.8614501076812635,0.8338192419825073,0.90169992609017,0.8521229868228404,0.8242766407904023,0.8355968548963545,0.8348820586132952;2095,2093,2109,2121,2015,2048,2080,2076,2090,1973;1140,1134,1168,1200,1144,1220,1164,1168,1169,1168;955,959,941,921,871,828,916,908,921,805;441,439,434,451,522,584,483,440,445,561;229,233,222,193,228,133,202,249,230,231;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;6;10;0.7854611211573237;0.8018822391454343;0.7459802920538738;0.8673505317880391;2171.8;1199.1;972.7;409.8;183.4;0.8021699819168173,0.7486437613019892,0.8137432188065099,0.7808318264014467,0.7822784810126582,0.8061482820976492,0.7989150090415913,0.7880650994575045,0.7663652802893309,0.7674502712477396;0.8114443295415374,0.7729500163345312,0.8261896726290923,0.7970529135967849,0.7925568573397658,0.8160603980782429,0.8134228187919463,0.8077427821522309,0.7888888888888889,0.792513714101323;0.7682767624020888,0.6983471074380165,0.7781309599491417,0.7470182046453233,0.7516339869281046,0.7616912235746316,0.7509293680297398,0.7547516860821581,0.7266706803130644,0.7223529411764706;0.8597516435354273,0.8653986832479883,0.8805755395683453,0.8542713567839196,0.8381924198250729,0.8787878787878788,0.8872620790629575,0.8687367678193366,0.862759113652609,0.8777698355968548;2218,2070,2250,2159,2163,2229,2209,2179,2119,2122;1177,1183,1224,1190,1150,1189,1212,1231,1207,1228;1041,887,1026,969,1013,1040,997,948,912,894;355,511,349,403,380,372,402,400,454,472;192,184,166,203,222,164,154,186,192,171;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;7;10;0.7865099457504521;0.8015480708312754;0.748933595349585;0.862429300377552;2174.7;1192.3;982.4;400.1;190.2;0.7992766726943942,0.7613019891500904,0.7920433996383364,0.7855334538878843,0.776130198915009,0.7949367088607595,0.7844484629294756,0.7913200723327306,0.7909584086799276,0.7891500904159132;0.8096054888507719,0.78,0.80435522286492,0.7975418231478321,0.7898132427843801,0.8079918726718591,0.7985125084516567,0.8090036411784178,0.8093667546174141,0.8092901537455021;0.7632600258732212,0.7164727495407226,0.76307295029051,0.7604166666666666,0.7393515575333757,0.745625,0.7418341708542714,0.7618453865336658,0.7513778322106552,0.7460796139927623;0.8619430241051863,0.8558888076079005,0.8503597122302158,0.8384781048097631,0.847667638483965,0.8817442719881744,0.8645680819912153,0.8623853211009175,0.8770550393137956,0.8842030021443888;2210,2105,2190,2172,2146,2198,2169,2188,2187,2182;1180,1170,1182,1168,1163,1193,1181,1222,1227,1237;1030,935,1008,1004,983,1005,988,966,960,945;366,463,367,368,410,407,411,382,406,421;189,197,208,225,209,160,185,195,172,162;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;8;10;0.7849909584086799;0.7989137950112115;0.7518591378703294;0.8539117276797299;2170.5;1180.8;989.7;392.8;201.7;0.7822784810126582,0.7855334538878843,0.7613019891500904,0.779385171790235,0.8057866184448463,0.8097649186256781,0.7895117540687161,0.7721518987341772,0.7652802893309223,0.7989150090415913;0.7934111187371311,0.8006722689075629,0.7847358121330725,0.8011734028683181,0.8081457663451233,0.8106551475881929,0.7912482065997131,0.7922163588390502,0.7847429519071311,0.82213691618682;0.7482200647249191,0.7406716417910447,0.7177804295942721,0.7337313432835821,0.7925718290119131,0.7901754385964912,0.7756680731364276,0.7436532507739938,0.7320544554455446,0.7440648523451071;0.8444119795471147,0.8712509144111192,0.8654676258992806,0.8822684852835606,0.8243440233236151,0.8322246858832225,0.8074670571010248,0.8475652787579393,0.8456040028591851,0.9185132237312366;2163,2172,2105,2155,2228,2239,2183,2135,2116,2209;1156,1191,1203,1229,1131,1126,1103,1201,1183,1285;1007,981,902,926,1097,1113,1080,934,933,924;389,417,473,446,296,299,319,414,433,442;213,176,187,164,241,227,263,216,216,114;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;9;10;0.7838336347197108;0.7898852378538794;0.7681894082026329;0.8134992419327187;2167.3;1124.6;1042.7;339.8;257.9;0.7884267631103075,0.7656419529837252,0.7605786618444846,0.7547920433996383,0.8003616636528029,0.7945750452079566,0.8018083182640144,0.7786618444846293,0.7826401446654612,0.8108499095840868;0.7817978366281239,0.7718309859154929,0.7688547486033519,0.7619382022471911,0.8067226890756302,0.7990092002830856,0.8077192982456141,0.7877947295423025,0.7899335896539671,0.8232510983440351;0.7987804878048781,0.7440597420230821,0.7469470827679783,0.7457044673539519,0.7762803234501348,0.7664630006788866,0.7756064690026954,0.7743694614860259,0.7729138166894665,0.7807692307692308;0.7655222790357925,0.8017556693489393,0.7920863309352518,0.7788944723618091,0.8396501457725948,0.8344419807834442,0.842606149341142,0.8016937191249118,0.8077197998570408,0.8706218727662616;2180,2117,2103,2087,2213,2197,2217,2153,2164,2242;1048,1096,1101,1085,1152,1129,1151,1136,1130,1218;1132,1021,1002,1002,1061,1068,1066,1017,1034,1024;264,377,373,370,332,344,333,331,332,342;321,271,289,308,220,224,215,281,269,181;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;10;10;0.8098372513562386;0.8175871010712207;0.7848591054675893;0.8538169867469859;2239.2;1180.4;1058.8;323.7;202.1;0.8010849909584087,0.8213381555153707,0.8007233273056058,0.7819168173598553,0.8065099457504521,0.8231464737793852,0.8090415913200724,0.8235081374321881,0.8220614828209765,0.8090415913200724;0.8008689355539466,0.8281141266527487,0.8053691275167785,0.7863974495217854,0.8153261995167415,0.8290807409996505,0.8189300411522634,0.8356902356902356,0.8342318059299192,0.8218623481781377;0.7939698492462312,0.7896483078964831,0.7911172796668979,0.7762237762237763,0.7744262295081967,0.786472148541114,0.7703225806451612,0.7990985189954926,0.7890376035691523,0.7782747603833866;0.8078889700511322,0.8705193855157278,0.8201438848920863,0.7968413496051687,0.8607871720116618,0.8765705838876571,0.8740849194729137,0.8757939308398024,0.8849177984274482,0.8706218727662616;2215,2271,2214,2162,2230,2276,2237,2277,2273,2237;1106,1190,1140,1110,1181,1186,1194,1241,1238,1218;1109,1081,1074,1052,1049,1090,1043,1036,1035,1019;287,317,301,320,344,322,356,312,331,347;263,177,250,283,191,167,172,176,161,181;
wisard;50;compact_Applied_Learning_50.pickle;1.14;16811;27654;11;10;0.8009041591320074;0.8019747315924513;0.7950355828362298;0.8104572862972589;2214.5;1120.6;1093.9;288.6;261.9;0.8195298372513562,0.7685352622061483,0.7566003616636529,0.7909584086799276,0.7877034358047016,0.8094032549728752,0.8292947558770344,0.8141048824593128,0.8220614828209765,0.8108499095840868;0.8260718020216102,0.7610156833457805,0.7510173880873103,0.7888970051132213,0.7821892393320965,0.8028432472876917,0.8364518364518365,0.8225138121546961,0.8294036061026352,0.8193436960276339;0.79,0.7772692601067888,0.773038842345773,0.8029739776951673,0.7966742252456538,0.8128787878787879,0.7940789473684211,0.8052738336713996,0.8053872053872054,0.7927807486631016;0.8655953250547845,0.745427944403804,0.7302158273381295,0.7753050969131371,0.7682215743440233,0.7930524759793053,0.883601756954612,0.8405081157374735,0.8548963545389564,0.8477483917083631;2266,2125,2092,2187,2178,2238,2293,2251,2273,2242;1185,1019,1015,1080,1054,1073,1207,1191,1196,1186;1081,1106,1077,1107,1124,1165,1086,1060,1077,1056;315,292,298,265,269,247,313,288,289,310;184,348,375,313,318,280,159,226,203,213;
