algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;3;10;0.8484931506849314;[0.8406392694063927, 0.839117199391172, 0.8409436834094368, 0.8360730593607306, 0.8404870624048706, 0.8540334855403349, 0.7780821917808219, 0.9108066971080669, 0.8992389649923896, 0.845509893455099];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;4;10;0.8668188736681885;[0.8278538812785388, 0.8438356164383561, 0.8343226788432268, 0.836834094368341, 0.8381278538812785, 0.8601978691019787, 0.9005327245053273, 0.8861491628614916, 0.8974124809741248, 0.9429223744292238];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;5;10;0.8777168949771689;[0.8291476407914764, 0.8328767123287671, 0.8320395738203957, 0.8323439878234399, 0.8285388127853881, 0.8620243531202435, 0.9098934550989346, 0.9249619482496195, 0.9612633181126332, 0.9640791476407915];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;6;10;0.8805327245053274;[0.8187975646879756, 0.8299086757990868, 0.8301369863013699, 0.8225266362252663, 0.8332572298325723, 0.8642313546423136, 0.9617960426179605, 0.9469558599695586, 0.9420091324200913, 0.9557077625570777];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;7;10;0.8846803652968036;[0.8186453576864535, 0.8239726027397261, 0.8235159817351598, 0.8285388127853881, 0.815144596651446, 0.865296803652968, 0.9563165905631659, 0.9682648401826484, 0.9749619482496195, 0.9721461187214612];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;8;10;0.886613394216134;[0.8234398782343988, 0.8292998477929985, 0.8206240487062405, 0.8247336377473363, 0.8221461187214611, 0.8573820395738204, 0.9802891933028919, 0.9730593607305936, 0.969634703196347, 0.9655251141552511];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;9;10;0.8881887366818872;[0.8182648401826484, 0.830365296803653, 0.8222222222222222, 0.8363013698630137, 0.826103500761035, 0.8614155251141552, 0.9482496194824962, 0.9856925418569255, 0.9806697108066971, 0.9726027397260274];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;10;10;0.8937975646879757;[0.8192541856925418, 0.8361491628614917, 0.8289193302891933, 0.8291476407914764, 0.8239726027397261, 0.8683409436834094, 0.9864535768645357, 0.9711567732115677, 0.9863013698630136, 0.9882800608828006];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;11;10;0.8948249619482495;[0.8247336377473363, 0.8191780821917808, 0.8469558599695586, 0.8333333333333334, 0.8208523592085236, 0.880441400304414, 0.9844748858447488, 0.9810502283105023, 0.9773211567732115, 0.9799086757990868];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;12;10;0.8996575342465751;[0.8337138508371386, 0.8420091324200913, 0.8355403348554034, 0.8429984779299847, 0.8262557077625571, 0.880517503805175, 0.9843987823439878, 0.9876712328767123, 0.9824200913242009, 0.9810502283105023];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;13;10;0.900213089802131;[0.8359208523592085, 0.8483257229832573, 0.8302130898021309, 0.8415525114155251, 0.8331811263318113, 0.8687975646879756, 0.9817351598173516, 0.989345509893455, 0.9853120243531203, 0.9877473363774734];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;14;10;0.9069254185692543;[0.8418569254185693, 0.8549467275494673, 0.84779299847793, 0.8495433789954338, 0.8498477929984779, 0.8788432267884323, 0.9868340943683409, 0.9863774733637747, 0.9852359208523592, 0.9879756468797565];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;15;10;0.9090563165905632;[0.8499238964992389, 0.8558599695585997, 0.8378995433789954, 0.8511415525114155, 0.8491628614916286, 0.8896499238964992, 0.9850837138508372, 0.9938356164383562, 0.9880517503805175, 0.9899543378995433];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;16;10;0.9085388127853882;[0.8534246575342466, 0.8688736681887367, 0.837062404870624, 0.8281582952815829, 0.8506849315068493, 0.8806697108066971, 0.9898021308980213, 0.9875190258751902, 0.9943683409436834, 0.9948249619482497];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;17;10;0.9132648401826484;[0.8594368340943683, 0.8624809741248097, 0.8481735159817352, 0.843531202435312, 0.8661339421613394, 0.8884322678843227, 0.9926940639269406, 0.9872907153729071, 0.9926179604261796, 0.9918569254185693];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;18;10;0.9217123287671232;[0.8691780821917808, 0.8647640791476408, 0.869558599695586, 0.8650684931506849, 0.8671232876712329, 0.9051750380517504, 0.9930745814307458, 0.993607305936073, 0.995738203957382, 0.9938356164383562];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;19;10;0.9225799086757991;[0.8775494672754947, 0.871765601217656, 0.8678843226788432, 0.8710806697108067, 0.8687975646879756, 0.9025114155251142, 0.9942922374429224, 0.9942161339421614, 0.9907914764079148, 0.986910197869102];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;20;10;0.9251293759512936;[0.8748858447488584, 0.8808980213089802, 0.8658295281582953, 0.8714611872146119, 0.8749619482496195, 0.9035768645357687, 0.993455098934551, 0.9965753424657534, 0.9947488584474886, 0.9949010654490107];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;2;10;0.8021736001151577;[0.8088383474881243, 0.8179070102202389, 0.8075428242406795, 0.8075428242406795, 0.8186267453577084, 0.81905858644019, 0.8176191161652512, 0.7719879084496906, 0.8605153303584281, 0.6920973081905859];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;3;10;0.8409097452137612;[0.797034691233626, 0.8061033539657406, 0.803080466388369, 0.8180509572477328, 0.8111414999280265, 0.8135885993954225, 0.8544695552036851, 0.9085936375413848, 0.870303728228012, 0.926730963005614];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;4;10;0.853951345904707;[0.8033683604433568, 0.8036562544983447, 0.8049517777457895, 0.800777313948467, 0.8040880955808263, 0.8079746653231611, 0.8927594645170577, 0.9568158917518353, 0.9602706204116885, 0.9048510148265438];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;5;10;0.8619260112278682;[0.8027925723333813, 0.80682308910321, 0.804375989635814, 0.8013531020584425, 0.8050957247732834, 0.8097020296530877, 0.9191017705484382, 0.9598387793292068, 0.9488988052396718, 0.9612782496041457];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;6;10;0.862775298690082;[0.8035123074708507, 0.8092701885706061, 0.7955952209586872, 0.7954512739311933, 0.7989060025910465, 0.8036562544983447, 0.9546566863394271, 0.9514898517345617, 0.9576795739167986, 0.9575356268893047];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;7;10;0.8709514898517347;[0.8040880955808263, 0.8085504534331366, 0.8003454728659853, 0.8076867712681733, 0.8061033539657406, 0.7978983733985893, 0.9732258528861379, 0.9824384626457464, 0.96329350798906, 0.9658845544839499];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;8;10;0.8709946739599828;[0.8118612350654959, 0.8012091550309486, 0.8020728371959119, 0.8065351950482222, 0.8072549301856916, 0.8032244134158629, 0.9805671512883259, 0.9733697999136318, 0.9750971642435584, 0.9487548582121779];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;9;10;0.8742046926730962;[0.8035123074708507, 0.8066791420757161, 0.8003454728659853, 0.804375989635814, 0.811717288038002, 0.8062473009932345, 0.960846408521664, 0.9883402907729956, 0.9886281848279833, 0.9713545415287175];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;10;10;0.8795451273931194;[0.8160356988628185, 0.815459910752843, 0.8133007053404347, 0.8062473009932345, 0.8006333669209731, 0.8176191161652512, 0.980423204260832, 0.9904994961854038, 0.976824528573485, 0.9784079458759176];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;11;10;0.8823952785374981;[0.8145962285878796, 0.8246725205124514, 0.8174751691377573, 0.8086944004606305, 0.8179070102202389, 0.8118612350654959, 0.984021879948179, 0.982870303728228, 0.9841658269756729, 0.9776882107384482];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;12;10;0.888095580826256;[0.8210738448251044, 0.8176191161652512, 0.8111414999280265, 0.8266877788973658, 0.8252483086224269, 0.8302864545847128, 0.9847416150856485, 0.9880523967180078, 0.986612926443069, 0.9894918669929466];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;13;10;0.8929178062473009;[0.8282711961997985, 0.8302864545847128, 0.8305743486397006, 0.8330214481070966, 0.8206420037426227, 0.8321577659421333, 0.9844537210306608, 0.9889160788829711, 0.9881963437455017, 0.992658701597812];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;14;10;0.8945588023607313;[0.8272635670073413, 0.8305743486397006, 0.8279833021448108, 0.8321577659421333, 0.8389232762343458, 0.8343169713545415, 0.9808550453433137, 0.995105801065208, 0.9830142507557219, 0.9953936951201958];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;15;10;0.8995681589175184;[0.8382035410968763, 0.8405066935367784, 0.8406506405642723, 0.8376277529869008, 0.8390672232618397, 0.8446811573341011, 0.9786958399309055, 0.9958255362026774, 0.9848855621131424, 0.9955376421476897];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;16;10;0.9054124082337701;[0.8462645746365337, 0.8500071973513746, 0.8469843097740032, 0.8525982438462646, 0.8511587735713257, 0.8405066935367784, 0.9873326615805383, 0.9942421189002447, 0.9943860659277386, 0.9906434432128977];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;17;10;0.9081761911616525;[0.8475600978839787, 0.8554771843961422, 0.845976680581546, 0.8494314092413991, 0.8563408665611055, 0.8574924427810565, 0.9881963437455017, 0.9930905426802936, 0.9933784367352814, 0.9948179070102202];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;18;10;0.912566575500216;[0.855621131423636, 0.8561969195336117, 0.8597955952209587, 0.8574924427810565, 0.8651216352382324, 0.8586440190010076, 0.9887721318554772, 0.995105801065208, 0.9948179070102202, 0.9940981718727508];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;19;10;0.9162228299985605;[0.855621131423636, 0.8688642579530733, 0.8579242838635383, 0.8635382179357997, 0.8674247876781345, 0.8687203109255794, 0.9896358140204404, 0.9972650064776163, 0.9976968475600979, 0.9955376421476897];
wisard;50;compact_Math_Science_50.pickle;1.14;42043;69478;20;10;0.918727508276954;[0.8626745357708363, 0.871599251475457, 0.8662732114581834, 0.8649776882107384, 0.8698718871455304, 0.8711674103929754, 0.9917950194328488, 0.9958255362026774, 0.9981286886425795, 0.9949618540377141];
