data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;50;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;180390;27481;152909;
5/5;50;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;28438;0.15619267314769045;154341;866;157;0.005610952371696438;27729;27572;153475;0.9943380576291969;180390;27481;152909;
5/5;100;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;27733;0.15232053605756027;154341;4;0;2.5916639130237592e-05;27729;27729;154337;1.0;182062;27728;154334;
5/5;100;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;27733;0.15232053605756027;154341;4;0;2.5916639130237592e-05;27729;27729;154337;1.0;182062;27728;154334;
10/10;1;False;20;15;0.75;10;5;0;0.5;10;10;5;1.0;182060;81291;0.44650664616060637;154336;65358;11791;0.4234786439975119;27724;15933;88978;0.5747006204010965;57645;8778;48867;
10/10;1;True;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;112686;0.6189497967702955;154336;103432;18470;0.6701741654571843;27724;9254;50904;0.3337902178617804;0;0;0;
10/10;2;False;20;19;0.95;10;9;0;0.9;10;10;1;1.0;182060;105877;0.581550038448863;154336;94721;16568;0.6137323761144516;27724;11156;59615;0.40239503679122784;24939;3900;21039;
10/10;2;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;115119;0.6323135230143908;154336;106058;18663;0.687188990255028;27724;9061;48278;0.32682874044149474;0;0;0;
10/10;3;False;20;19;0.95;10;9;0;0.9;10;10;1;1.0;182060;97427;0.5351367680984291;154336;84044;14341;0.5445521459672403;27724;13383;70292;0.482722550858462;29974;4792;25182;
10/10;3;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;108947;0.598412611227068;154336;98373;17150;0.6373950342110719;27724;10574;55963;0.38140239503679124;0;0;0;
10/10;4;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96018;0.5273975612435461;154336;82787;14493;0.5364075782707858;27724;13231;71549;0.4772399365170971;24006;3605;20401;
10/10;4;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105101;0.5772877073492255;154336;93825;16448;0.607926860874974;27724;11276;60511;0.40672341653441063;0;0;0;
10/10;5;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;89979;0.4942271778534549;154336;75272;13017;0.48771511507360565;27724;14707;79064;0.5304790073582456;21813;3290;18523;
10/10;5;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;98329;0.5400911787322861;154336;85320;14715;0.5528198216877462;27724;13009;69016;0.46923243399220893;0;0;0;
10/10;6;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;103976;0.5711084257936944;154336;92729;16477;0.6008254716981132;27724;11247;61607;0.40567739142980813;18834;2912;15922;
10/10;6;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;110556;0.6072503570251565;154336;100752;17920;0.6528094546962472;27724;9804;53584;0.35362862501803494;5;1;4;
10/10;7;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;87058;0.47818301658793805;154336;71915;12581;0.4659638710346258;27724;15143;82421;0.5462054537584764;18869;2928;15941;
10/10;7;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96640;0.5308140173569154;154336;83617;14701;0.5417854551109268;27724;13023;70719;0.4697374116289136;8;0;8;
10/10;8;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;97687;0.5365648687245963;154336;85097;15134;0.5513749222475638;27724;12590;69239;0.4541191747222623;20407;3136;17271;
10/10;8;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;106280;0.5837635944194222;154336;95504;16948;0.6188057225793074;27724;10776;58832;0.3886885009378156;98;14;84;
10/10;9;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;94363;0.5183071514885202;154336;81082;14443;0.5253602529545925;27724;13281;73254;0.4790434280767566;22241;3484;18757;
10/10;9;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102570;0.5633856970229595;154336;91065;16219;0.5900438005390836;27724;11505;63271;0.41498340787765114;214;33;181;
10/10;10;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;92184;0.506338569702296;154336;78094;13634;0.505999896330085;27724;14090;76242;0.5082239215120473;22646;3606;19040;
10/10;10;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;101612;0.558123695485005;154336;89629;15741;0.580739425668671;27724;11983;64707;0.43222478718799595;1046;163;883;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;75301;0.4136054048116006;154336;57362;9785;0.37166960398092475;27724;17939;96974;0.6470567017746357;54034;8665;45369;
10/10;20;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;77305;0.42461276502252004;154336;59804;10223;0.3874922247563757;27724;17501;94532;0.6312581157120185;48310;7741;40569;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;56763;0.3117818301658794;154336;35000;5961;0.22677793904208998;27724;21763;119336;0.7849877362573943;110941;17130;93811;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;58306;0.3202570581127101;154336;36864;6282;0.238855484138503;27724;21442;117472;0.7734093204443803;108346;16739;91607;
