data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
5/5;1;False;10;8;0.8;5;5;2;1.0;5;3;0;0.6;182070;126926;0.6971274784423573;154341;120862;21665;0.7830842096396939;27729;6064;33479;0.2186880161563706;
5/5;1;True;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;
5/5;2;False;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;129920;0.7135717031910803;154341;124537;22346;0.8068951218405997;27729;5383;29804;0.19412889033142197;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124820;0.6855604987092876;154341;118470;21379;0.7675860594398118;27729;6350;35871;0.22900212773630496;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120011;0.6591475806008678;154341;112565;20283;0.7293266209237986;27729;7446;41776;0.2685275343503192;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117307;0.644296149832482;154341;109055;19477;0.7065847700870151;27729;8252;45286;0.29759457607558876;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112836;0.6197396605701104;154341;103542;18435;0.6708651622057652;27729;9294;50799;0.3351725630206643;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118385;0.650216949524908;154341;110474;19818;0.7157786978184669;27729;7911;43867;0.28529698149951316;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113914;0.6256604602625364;154341;104995;18810;0.6802793813698239;27729;8919;49346;0.3216488153197014;
5/5;10;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120278;0.6606140495413851;154341;112848;20299;0.7311602231422629;27729;7430;41493;0.26795052111507806;
5/5;10;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;111700;0.613500302081617;154341;102192;18221;0.66211829649931;27729;9508;52149;0.3428901150420138;
5/5;20;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;127671;0.7012193112539133;154341;122072;22130;0.7909239929765908;27729;5599;32269;0.2019185690071766;
5/5;20;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;126570;0.6951721865216675;154341;120622;21781;0.7815292112918797;27729;5948;33719;0.21450467020087274;
5/5;25;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;140316;0.7706706211896523;154341;137403;24816;0.890255991603009;27729;2913;16938;0.10505247214107974;
5/5;25;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;140316;0.7706706211896523;154341;137403;24816;0.890255991603009;27729;2913;16938;0.10505247214107974;
5/5;30;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148837;0.8174713022463888;154341;147796;26688;0.9575938992231487;27729;1041;6545;0.03754192361787299;
5/5;30;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148837;0.8174713022463888;154341;147796;26688;0.9575938992231487;27729;1041;6545;0.03754192361787299;
5/5;50;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;153866;0.8450925468226507;154341;153775;27638;0.9963327955630714;27729;91;566;0.0032817627754336614;
5/5;50;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;153866;0.8450925468226507;154341;153775;27638;0.9963327955630714;27729;91;566;0.0032817627754336614;
5/5;100;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;154339;0.847690448728511;154341;154338;27728;0.9999805625206524;27729;1;3;3.606332720256771e-05;
5/5;100;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;154339;0.847690448728511;154341;154338;27728;0.9999805625206524;27729;1;3;3.606332720256771e-05;
10/10;1;False;20;15;0.75;10;10;5;1.0;10;5;0;0.5;182060;121380;0.6667032846314401;154336;114225;20569;0.740106002488078;27724;7155;40111;0.2580796421872746;
10/10;1;True;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;112686;0.6189497967702955;154336;103432;18470;0.6701741654571843;27724;9254;50904;0.3337902178617804;
10/10;2;False;20;16;0.8;10;10;4;1.0;10;6;0;0.6;182060;123016;0.6756893331868615;154336;115760;20468;0.7500518349574954;27724;7256;38576;0.26172269513778673;
10/10;2;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;115119;0.6323135230143908;154336;106058;18663;0.687188990255028;27724;9061;48278;0.32682874044149474;
10/10;4;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112814;0.6196528616939471;154336;103188;18098;0.6685931992535766;27724;9626;51148;0.3472081950656471;
10/10;4;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105101;0.5772877073492255;154336;93825;16448;0.607926860874974;27724;11276;60511;0.40672341653441063;
10/10;5;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105212;0.5778973964627045;154336;93795;16307;0.6077324797843666;27724;11417;60541;0.4118092627326504;
10/10;5;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;98329;0.5400911787322861;154336;85320;14715;0.5528198216877462;27724;13009;69016;0.46923243399220893;
10/10;7;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;100071;0.5496594529276063;154336;87856;15509;0.5692515032137674;27724;12215;66480;0.44059298802481606;
10/10;7;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96648;0.5308579589146435;154336;83625;14701;0.5418372900684222;27724;13023;70711;0.4697374116289136;
10/10;10;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;107618;0.5911128199494672;154336;97134;17240;0.6293670951689819;27724;10484;57202;0.37815611022940415;
10/10;10;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102332;0.5620784356805448;154336;90512;15904;0.5864607091022186;27724;11820;63824;0.426345404703506;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112005;0.6152092716686807;154336;102731;18450;0.6656321273066557;27724;9274;51605;0.3345116144856442;
10/10;20;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;110133;0.6049269471602768;154336;100373;17964;0.6503537735849056;27724;9760;53963;0.35204155244553453;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;133444;0.7329671536855982;154336;128811;23091;0.8346140887414473;27724;4633;25525;0.16711152791804934;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;133174;0.7314841261122706;154336;128471;23021;0.8324111030478955;27724;4703;25865;0.16963641610157265;
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;143231;0.7867241568713611;154336;140931;25424;0.9131440493468795;27724;2300;13405;0.08296061174433704;
10/10;30;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;143231;0.7867241568713611;154336;140931;25424;0.9131440493468795;27724;2300;13405;0.08296061174433704;
10/10;50;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;152792;0.8392398110513017;154336;152451;27383;0.9877863881401617;27724;341;1885;0.012299812436877795;
10/10;50;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;152792;0.8392398110513017;154336;152451;27383;0.9877863881401617;27724;341;1885;0.012299812436877795;
10/10;100;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;154334;0.8477095463034164;154336;154329;27719;0.9999546444121916;27724;5;7;0.0001803491559659501;
10/10;100;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;154334;0.8477095463034164;154336;154329;27719;0.9999546444121916;27724;5;7;0.0001803491559659501;
20/20;1;False;40;23;0.575;20;20;17;1.0;20;3;0;0.15;182040;145116;0.7971654581410679;154326;142940;25538;0.9262211163381413;27714;2176;11386;0.07851627336364292;
20/20;1;True;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;127079;0.6980828389364975;154326;120959;21594;0.7837888625377448;27714;6120;33367;0.22082701883524572;
20/20;2;False;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;131332;0.7214458360799825;154326;126122;22504;0.8172440159143631;27714;5210;28204;0.18799162877967815;
20/20;2;True;40;37;0.925;20;20;3;1.0;20;17;0;0.85;182040;113827;0.6252856515051637;154326;104520;18407;0.6772676023482758;27714;9307;49806;0.3358230497221621;
20/20;4;False;40;36;0.9;20;20;4;1.0;20;16;0;0.8;182040;119467;0.6562678532190728;154326;111482;19729;0.7223798971009422;27714;7985;42844;0.2881215270260518;
20/20;4;True;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;104860;0.5760272467589541;154326;93332;16186;0.6047717170146314;27714;11528;60994;0.41596305116547594;
20/20;5;False;40;39;0.975;20;20;1;1.0;20;19;0;0.95;182040;110725;0.6082454405625137;154326;100769;17758;0.6529619117971048;27714;9956;53557;0.3592408169156383;
20/20;5;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93675;0.5145847066578774;154326;79803;13842;0.5171066443761907;27714;13872;74523;0.5005412426932236;
