data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
5/5;1;False;10;8;0.8;5;5;2;1.0;5;3;0;0.6;182070;126926;0.6971274784423573;154341;120862;21665;0.7830842096396939;27729;6064;33479;0.2186880161563706;18416;3044;15372;
5/5;1;True;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;123109;0.676163014225298;154341;116239;20859;0.7531310539649219;27729;6870;38102;0.24775505788164015;0;0;0;
5/5;2;False;10;9;0.9;5;5;1;1.0;5;4;0;0.8;182070;129920;0.7135717031910803;154341;124537;22346;0.8068951218405997;27729;5383;29804;0.19412889033142197;12343;1971;10372;
5/5;2;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;125954;0.6917888724117098;154341;119711;21486;0.7756266967299681;27729;6243;34630;0.22514335172563021;0;0;0;
5/5;3;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;127930;0.7026418410501456;154341;122141;21940;0.7913710550015874;27729;5789;32200;0.20877060117566446;10343;1582;8761;
5/5;3;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124582;0.6842533091668039;154341;118094;21241;0.7651498953615695;27729;6488;36247;0.2339788668902593;0;0;0;
5/5;4;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;124820;0.6855604987092876;154341;118470;21379;0.7675860594398118;27729;6350;35871;0.22900212773630496;10173;1509;8664;
5/5;4;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120011;0.6591475806008678;154341;112565;20283;0.7293266209237986;27729;7446;41776;0.2685275343503192;2;0;2;
5/5;5;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;117307;0.644296149832482;154341;109055;19477;0.7065847700870151;27729;8252;45286;0.29759457607558876;10727;1650;9077;
5/5;5;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;112836;0.6197396605701104;154341;103542;18435;0.6708651622057652;27729;9294;50799;0.3351725630206643;22;1;21;
5/5;6;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;126908;0.6970286153677158;154341;120945;21766;0.7836219799016464;27729;5963;33396;0.21504562010891126;9779;1536;8243;
5/5;6;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;122424;0.6724007249958807;154341;115364;20669;0.7474617891551824;27729;7060;38977;0.25460709005012805;230;38;192;
5/5;7;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;118385;0.650216949524908;154341;110474;19818;0.7157786978184669;27729;7911;43867;0.28529698149951316;11379;1708;9671;
5/5;7;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;113914;0.6256604602625364;154341;104995;18810;0.6802793813698239;27729;8919;49346;0.3216488153197014;391;58;333;
5/5;8;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120819;0.6635854341736694;154341;113443;20353;0.7350153232128858;27729;7376;40898;0.2660031014461394;15017;2294;12723;
5/5;8;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;114510;0.6289339265117811;154341;105657;18876;0.6845685851458783;27729;8853;48684;0.31926863572433195;760;119;641;
5/5;9;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;115026;0.6317680013181743;154341;106389;19092;0.6893113301067118;27729;8637;47952;0.3114789570485773;19367;3010;16357;
5/5;9;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;106797;0.5865710990278464;154341;96226;17158;0.6234636292365606;27729;10571;58115;0.38122543185834323;1469;238;1231;
5/5;10;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;120278;0.6606140495413851;154341;112848;20299;0.7311602231422629;27729;7430;41493;0.26795052111507806;20898;3299;17599;
5/5;10;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;111700;0.613500302081617;154341;102192;18221;0.66211829649931;27729;9508;52149;0.3428901150420138;4244;650;3594;
5/5;20;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;127671;0.7012193112539133;154341;122072;22130;0.7909239929765908;27729;5599;32269;0.2019185690071766;92865;14901;77964;
5/5;20;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;126570;0.6951721865216675;154341;120622;21781;0.7815292112918797;27729;5948;33719;0.21450467020087274;90851;14525;76326;
5/5;25;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;140316;0.7706706211896523;154341;137403;24816;0.890255991603009;27729;2913;16938;0.10505247214107974;136144;21008;115136;
5/5;25;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;140316;0.7706706211896523;154341;137403;24816;0.890255991603009;27729;2913;16938;0.10505247214107974;136139;21008;115131;
5/5;30;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148837;0.8174713022463888;154341;147796;26688;0.9575938992231487;27729;1041;6545;0.03754192361787299;158594;24315;134279;
5/5;30;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;148837;0.8174713022463888;154341;147796;26688;0.9575938992231487;27729;1041;6545;0.03754192361787299;158594;24315;134279;
5/5;50;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;153866;0.8450925468226507;154341;153775;27638;0.9963327955630714;27729;91;566;0.0032817627754336614;180390;27481;152909;
5/5;50;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;153866;0.8450925468226507;154341;153775;27638;0.9963327955630714;27729;91;566;0.0032817627754336614;180390;27481;152909;
5/5;100;False;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;154339;0.847690448728511;154341;154338;27728;0.9999805625206524;27729;1;3;3.606332720256771e-05;182062;27728;154334;
5/5;100;True;10;10;1.0;5;5;0;1.0;5;5;0;1.0;182070;154339;0.847690448728511;154341;154338;27728;0.9999805625206524;27729;1;3;3.606332720256771e-05;182062;27728;154334;
10/10;1;False;20;15;0.75;10;10;5;1.0;10;5;0;0.5;182060;121380;0.6667032846314401;154336;114225;20569;0.740106002488078;27724;7155;40111;0.2580796421872746;57645;8778;48867;
10/10;1;True;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;112686;0.6189497967702955;154336;103432;18470;0.6701741654571843;27724;9254;50904;0.3337902178617804;0;0;0;
10/10;2;False;20;16;0.8;10;10;4;1.0;10;6;0;0.6;182060;123016;0.6756893331868615;154336;115760;20468;0.7500518349574954;27724;7256;38576;0.26172269513778673;24939;3900;21039;
10/10;2;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;115119;0.6323135230143908;154336;106058;18663;0.687188990255028;27724;9061;48278;0.32682874044149474;0;0;0;
10/10;3;False;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;117817;0.6471328133582336;154336;109226;19133;0.7077156334231806;27724;8591;45110;0.30987591978069545;29974;4792;25182;
10/10;3;True;20;19;0.95;10;10;1;1.0;10;9;0;0.9;182060;108947;0.598412611227068;154336;98373;17150;0.6373950342110719;27724;10574;55963;0.38140239503679124;0;0;0;
10/10;4;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112814;0.6196528616939471;154336;103188;18098;0.6685931992535766;27724;9626;51148;0.3472081950656471;24006;3605;20401;
10/10;4;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105101;0.5772877073492255;154336;93825;16448;0.607926860874974;27724;11276;60511;0.40672341653441063;0;0;0;
10/10;5;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105212;0.5778973964627045;154336;93795;16307;0.6077324797843666;27724;11417;60541;0.4118092627326504;21813;3290;18523;
10/10;5;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;98329;0.5400911787322861;154336;85320;14715;0.5528198216877462;27724;13009;69016;0.46923243399220893;0;0;0;
10/10;6;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;116986;0.6425683840492146;154336;108651;19389;0.7039899958532034;27724;8335;45685;0.3006420429952388;18834;2912;15922;
10/10;6;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;110559;0.6072668351093046;154336;100756;17921;0.6528353721749948;27724;9803;53580;0.35359255518684174;5;1;4;
10/10;7;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;100071;0.5496594529276063;154336;87856;15509;0.5692515032137674;27724;12215;66480;0.44059298802481606;18869;2928;15941;
10/10;7;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;96648;0.5308579589146435;154336;83625;14701;0.5418372900684222;27724;13023;70711;0.4697374116289136;8;0;8;
10/10;8;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;111822;0.6142041085356476;154336;102368;18270;0.6632801161103048;27724;9454;51968;0.3410041841004184;20407;3136;17271;
10/10;8;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;106350;0.5841480830495441;154336;95588;16962;0.6193499896330085;27724;10762;58748;0.38818352330111094;98;14;84;
10/10;9;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;109636;0.6021970778864111;154336;99839;17927;0.646893790172092;27724;9797;54497;0.3533761361996826;22241;3484;18757;
10/10;9;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102718;0.5641986158409316;154336;91246;16252;0.5912165664524155;27724;11472;63090;0.41379310344827586;214;33;181;
10/10;10;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;107618;0.5911128199494672;154336;97134;17240;0.6293670951689819;27724;10484;57202;0.37815611022940415;22646;3606;19040;
10/10;10;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102332;0.5620784356805448;154336;90512;15904;0.5864607091022186;27724;11820;63824;0.426345404703506;1046;163;883;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112005;0.6152092716686807;154336;102731;18450;0.6656321273066557;27724;9274;51605;0.3345116144856442;54034;8665;45369;
10/10;20;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;110133;0.6049269471602768;154336;100373;17964;0.6503537735849056;27724;9760;53963;0.35204155244553453;48310;7741;40569;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;133444;0.7329671536855982;154336;128811;23091;0.8346140887414473;27724;4633;25525;0.16711152791804934;110941;17130;93811;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;133174;0.7314841261122706;154336;128471;23021;0.8324111030478955;27724;4703;25865;0.16963641610157265;108346;16739;91607;
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;143231;0.7867241568713611;154336;140931;25424;0.9131440493468795;27724;2300;13405;0.08296061174433704;143125;22026;121099;
10/10;30;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;143231;0.7867241568713611;154336;140931;25424;0.9131440493468795;27724;2300;13405;0.08296061174433704;143125;22026;121099;
10/10;50;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;152792;0.8392398110513017;154336;152451;27383;0.9877863881401617;27724;341;1885;0.012299812436877795;176611;26927;149684;
10/10;50;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;152792;0.8392398110513017;154336;152451;27383;0.9877863881401617;27724;341;1885;0.012299812436877795;176611;26927;149684;
10/10;100;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;154334;0.8477095463034164;154336;154329;27719;0.9999546444121916;27724;5;7;0.0001803491559659501;181916;27697;154219;
10/10;100;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;154334;0.8477095463034164;154336;154329;27719;0.9999546444121916;27724;5;7;0.0001803491559659501;181916;27697;154219;
20/20;1;False;40;23;0.575;20;20;17;1.0;20;3;0;0.15;182040;145116;0.7971654581410679;154326;142940;25538;0.9262211163381413;27714;2176;11386;0.07851627336364292;101505;15046;86459;
20/20;1;True;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;127079;0.6980828389364975;154326;120959;21594;0.7837888625377448;27714;6120;33367;0.22082701883524572;0;0;0;
20/20;2;False;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;131332;0.7214458360799825;154326;126122;22504;0.8172440159143631;27714;5210;28204;0.18799162877967815;66103;10033;56070;
20/20;2;True;40;37;0.925;20;20;3;1.0;20;17;0;0.85;182040;113827;0.6252856515051637;154326;104520;18407;0.6772676023482758;27714;9307;49806;0.3358230497221621;0;0;0;
20/20;3;False;40;31;0.775;20;20;9;1.0;20;11;0;0.55;182040;135022;0.7417161063502526;154326;130670;23362;0.8467140987260734;27714;4352;23656;0.15703254672728584;56863;8840;48023;
20/20;3;True;40;39;0.975;20;20;1;1.0;20;19;0;0.95;182040;112281;0.6167930125247199;154326;102349;17782;0.6631999792646734;27714;9932;51977;0.35837482860648046;0;0;0;
20/20;4;False;40;36;0.9;20;20;4;1.0;20;16;0;0.8;182040;119467;0.6562678532190728;154326;111482;19729;0.7223798971009422;27714;7985;42844;0.2881215270260518;41725;6465;35260;
20/20;4;True;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;104860;0.5760272467589541;154326;93332;16186;0.6047717170146314;27714;11528;60994;0.41596305116547594;0;0;0;
20/20;5;False;40;39;0.975;20;20;1;1.0;20;19;0;0.95;182040;110725;0.6082454405625137;154326;100769;17758;0.6529619117971048;27714;9956;53557;0.3592408169156383;36061;5485;30576;
20/20;5;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93675;0.5145847066578774;154326;79803;13842;0.5171066443761907;27714;13872;74523;0.5005412426932236;0;0;0;
20/20;6;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;102524;0.5631949022192925;154326;90653;15843;0.5874123608465197;27714;11871;63673;0.42833946741718987;29531;4484;25047;
20/20;6;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93101;0.5114315535047242;154326;79152;13765;0.5128883013879709;27714;13949;75174;0.5033196218517717;0;0;0;
20/20;7;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;104203;0.5724181498571742;154326;92998;16509;0.6026074673094618;27714;11205;61328;0.40430829183806016;25231;4034;21197;
20/20;7;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;92072;0.5057789496813887;154326;77919;13561;0.5048987208895455;27714;14153;76407;0.5106805224796132;3;1;2;
20/20;8;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;100849;0.5539936277741155;154326;88573;15438;0.5739343986107331;27714;12276;65753;0.4429530201342282;25678;3965;21713;
20/20;8;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;90127;0.49509448472863105;154326;75438;13025;0.48882236304964816;27714;14689;78888;0.5300209280508047;15;0;15;
20/20;9;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;99469;0.546412876290925;154326;87139;15384;0.5646423804154841;27714;12330;67187;0.4449014938298333;27286;4306;22980;
20/20;9;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;87037;0.4781201933640958;154326;71680;12357;0.4644713139717222;27714;15357;82646;0.5541242693223641;50;8;42;
20/20;10;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;94966;0.5216765546033839;154326;81374;14122;0.5272863937379314;27714;13592;72952;0.490438045753049;27289;4237;23052;
20/20;10;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;81242;0.4462865304328719;154326;64435;10907;0.41752523878024445;27714;16807;89891;0.6064443963339828;106;20;86;
20/20;20;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;101190;0.5558668424522083;154326;88731;15255;0.57495820535749;27714;12459;65595;0.4495561809915566;45781;7074;38707;
20/20;20;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;91559;0.5029608877169853;154326;76923;13078;0.4984448505112554;27714;14636;77403;0.5281085372014145;27795;4369;23426;
20/20;25;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;119370;0.6557350032959789;154326;111184;19528;0.7204489198190843;27714;8186;43142;0.2953741791152486;83225;12777;70448;
20/20;25;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;116286;0.6387936717205009;154326;107395;18823;0.6958969972655288;27714;8891;46931;0.32081258569675974;76519;11765;64754;
20/20;30;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;128709;0.7070369149637442;154326;122870;21875;0.7961717403418737;27714;5839;31456;0.21068773904885618;109174;16838;92336;
20/20;30;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;128483;0.7057954295759173;154326;122601;21832;0.7944286769565725;27714;5882;31725;0.2122393014360973;108861;16795;92066;
20/20;50;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;151204;0.8306086574379258;154326;150508;27018;0.9752601635498879;27714;696;3818;0.025113660965576965;171436;26187;145249;
20/20;50;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;151204;0.8306086574379258;154326;150508;27018;0.9752601635498879;27714;696;3818;0.025113660965576965;171436;26187;145249;
20/20;100;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;154209;0.8471160184574819;154326;154190;27695;0.9991187486230447;27714;19;136;0.0006855740780832792;181574;27648;153926;
20/20;100;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;154209;0.8471160184574819;154326;154190;27695;0.9991187486230447;27714;19;136;0.0006855740780832792;181574;27648;153926;
30/30;1;False;60;30;0.5;30;30;30;1.0;30;0;0;0.0;182020;154316;0.8477969453906165;154316;154316;27704;1.0;27704;0;0;0.0;147812;22593;125219;
30/30;1;True;60;42;0.7;30;28;16;0.9333333333333333;30;14;2;0.4666666666666667;182020;128644;0.7067574991759147;154316;122391;21451;0.7931193136162161;27704;6253;31925;0.22570747906439503;0;0;0;
30/30;2;False;60;38;0.6333333333333333;30;30;22;1.0;30;8;0;0.26666666666666666;182020;145126;0.7973079881331722;154316;142565;25143;0.9238510588662225;27704;2561;11751;0.09244152468957552;95243;14672;80571;
30/30;2;True;60;51;0.85;30;28;7;0.9333333333333333;30;23;2;0.7666666666666667;182020;119265;0.6552301944841227;154316;110739;19178;0.7176119132170352;27704;8526;43577;0.30775339301183946;0;0;0;
30/30;3;False;60;42;0.7;30;30;18;1.0;30;12;0;0.4;182020;144806;0.7955499395670805;154316;142358;25256;0.9225096555120661;27704;2448;11958;0.08836269130811435;65712;10359;55353;
30/30;3;True;60;54;0.9;30;27;3;0.9;30;27;3;0.9;182020;116759;0.6414624766509175;154316;107736;18681;0.6981518442676067;27704;9023;46580;0.3256930407161421;0;0;0;
