data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
10/10;5;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;77658;0.4265516862572778;154336;60364;10430;0.39112067178104915;27724;17294;93972;0.6237916606550281;
10/10;7;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;67060;0.3683401076568164;154336;47755;8419;0.3094222993987145;27724;19305;106581;0.6963280911845332;
10/10;7;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;80470;0.44199714379874766;154336;64038;11292;0.4149258760107817;27724;16432;90298;0.5926994661664984;
10/10;10;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;75922;0.4170163682302538;154336;58409;10211;0.37845350404312667;27724;17513;95927;0.6316909536863368;
10/10;10;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;90537;0.49729210150499836;154336;76218;13405;0.493844598797429;27724;14319;78118;0.5164839128552878;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;65061;0.3573602109194771;154336;44920;7583;0.29105328633630523;27724;20141;109416;0.7264824700620401;
10/10;20;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;90105;0.4949192573876744;154336;75515;13134;0.48928960190752646;27724;14590;78821;0.5262588371086423;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;60094;0.3300779962649676;154336;39462;7092;0.255688886585113;27724;20632;114874;0.7441927571778965;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;95157;0.5226683510930462;154336;82256;14823;0.532967032967033;27724;12901;72080;0.4653368922233444;
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;66940;0.36768098429089313;154336;47948;8732;0.3106728177482894;27724;18992;106388;0.6850382340210648;
10/10;30;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;87428;0.4802153136328683;154336;72889;13185;0.4722747771096828;27724;14539;81447;0.5244192757177897;
10/10;50;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44293;0.24328792705701416;154336;20120;3551;0.13036491810076717;27724;24173;134216;0.8719160294329823;
10/10;50;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44293;0.24328792705701416;154336;20120;3551;0.13036491810076717;27724;24173;134216;0.8719160294329823;
10/10;100;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27770;0.15253213226408877;154336;55;9;0.0003563653327804271;27724;27715;154281;0.9996753715192613;
10/10;100;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27770;0.15253213226408877;154336;55;9;0.0003563653327804271;27724;27715;154281;0.9996753715192613;
20/20;1;False;40;34;0.85;20;14;0;0.7;20;20;6;1.0;182040;65778;0.3613381674357284;154326;45851;7787;0.29710483003512045;27714;19927;108475;0.7190228765245003;
20/20;1;True;40;37;0.925;20;18;1;0.9;20;19;2;0.95;182040;88167;0.48432762030323007;154326;72964;12511;0.4727913637365058;27714;15203;81362;0.5485675110052681;
20/20;2;False;40;34;0.85;20;14;0;0.7;20;20;6;1.0;182040;66410;0.3648099318831026;154326;46903;8207;0.30392156862745096;27714;19507;107423;0.7038680811142383;
20/20;2;True;40;36;0.9;20;18;2;0.9;20;18;2;0.9;182040;88814;0.4878817842232476;154326;73835;12735;0.4784352604227415;27714;14979;80491;0.5404849534531284;
20/20;4;False;40;37;0.925;20;17;0;0.85;20;20;3;1.0;182040;62312;0.34229839595693257;154326;41745;7147;0.27049881419851485;27714;20567;112581;0.7421158981020423;
20/20;4;True;40;37;0.925;20;19;2;0.95;20;18;1;0.9;182040;89531;0.49182047901560094;154326;74872;13055;0.48515480217202545;27714;14659;79454;0.5289384426643574;
20/20;5;False;40;36;0.9;20;16;0;0.8;20;20;4;1.0;182040;59446;0.32655460338387166;154326;38027;6295;0.24640695670204632;27714;21419;116299;0.7728584830771451;
20/20;5;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;83809;0.46038782685124147;154326;67774;11679;0.43916125604240375;27714;16035;86552;0.5785884390560727;
20/20;7;False;40;38;0.95;20;18;0;0.9;20;20;2;1.0;182040;73179;0.40199406723796965;154326;54717;9252;0.35455464406516074;27714;18462;99609;0.6661615068196579;
20/20;7;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93364;0.5128762909250714;154326;79215;13565;0.5132965281287664;27714;14149;75111;0.5105361910947536;
20/20;10;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;79649;0.4375357064381455;154326;62947;11012;0.40788331195002786;27714;16702;91379;0.6026556974814173;
20/20;10;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;96552;0.5303889255108767;154326;83574;14736;0.5415419307180903;27714;12978;70752;0.4682831781770946;
20/20;20;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;75948;0.41720500988793674;154326;57930;9696;0.37537420784572917;27714;18018;96396;0.6501407231002382;
20/20;20;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;88901;0.4883597011645792;154326;73679;12492;0.47742441325505747;27714;15222;80647;0.5492530850833514;
20/20;25;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;59391;0.3262524719841793;154326;37907;6230;0.245629381957674;27714;21484;116419;0.7752038680811142;
20/20;25;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;78452;0.43096022852120414;154326;61122;10384;0.3960576960460324;27714;17330;93204;0.6253157249043805;
20/20;30;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;65270;0.3585475719622061;154326;45483;7927;0.29472026748571206;27714;19787;108843;0.713971278054413;
