data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
10/10;1;False;20;15;0.75;10;10;5;1.0;10;5;0;0.5;182060;130377;0.7161210589915412;154336;125658;23005;0.8141846361185984;27724;4719;28678;0.1702135334006637;
10/10;1;True;20;15;0.75;10;7;2;0.7;10;8;3;0.8;182060;97473;0.5353894320553664;154336;84770;15021;0.549256168359942;27724;12703;69566;0.4581950656470928;
10/10;2;False;20;15;0.75;10;10;5;1.0;10;5;0;0.5;182060;129385;0.7106723058332418;154336;124451;22790;0.8063640369064897;27724;4934;29885;0.17796854710719953;
10/10;2;True;20;15;0.75;10;7;2;0.7;10;8;3;0.8;182060;96594;0.530561353399978;154336;83712;14842;0.5424009952311839;27724;12882;70624;0.46465156543067376;
10/10;4;False;20;16;0.8;10;10;4;1.0;10;6;0;0.6;182060;124790;0.6854333736130945;154336;118628;21562;0.7686346672195729;27724;6162;35708;0.22226229981243686;
10/10;4;True;20;16;0.8;10;7;1;0.7;10;9;3;0.9;182060;89422;0.4911677468966275;154336;74548;12850;0.4830240514202778;27724;14874;79788;0.5365026691675083;
10/10;5;False;20;17;0.85;10;10;3;1.0;10;7;0;0.7;182060;104623;0.5746621992749643;154336;92816;15917;0.601389176860875;27724;11807;61520;0.4258764968979945;
10/10;5;True;20;16;0.8;10;8;2;0.8;10;8;2;0.8;182060;83753;0.46002966055146655;154336;67533;11504;0.4375712730665561;27724;16220;86803;0.5850526619535421;
10/10;7;False;20;18;0.9;10;10;2;1.0;10;8;0;0.8;182060;100722;0.5532351971877403;154336;88087;15089;0.5707482376114451;27724;12635;66249;0.45574231712595586;
10/10;7;True;20;17;0.85;10;8;1;0.8;10;9;2;0.9;182060;87889;0.48274744589695706;154336;72893;12728;0.47230069458843044;27724;14996;81443;0.5409031885730775;
10/10;10;False;20;18;0.9;10;10;2;1.0;10;8;0;0.8;182060;115023;0.6317862243216522;154336;105802;18503;0.6855302716151773;27724;9221;48534;0.33259991343240514;
10/10;10;True;20;17;0.85;10;8;1;0.8;10;9;2;0.9;182060;104151;0.5720696473689992;154336;92824;16397;0.6014410118183703;27724;11327;61512;0.4085629779252633;
10/10;20;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;118995;0.6536032077337142;154336;110926;19655;0.7187305618909392;27724;8069;43410;0.29104746789785024;
10/10;20;True;20;19;0.95;10;9;0;0.9;10;10;1;1.0;182060;106557;0.5852850708557619;154336;95985;17152;0.6219222993987145;27724;10572;58351;0.38133025537440485;
10/10;25;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;101771;0.5589970339448533;154336;89188;15141;0.5778820236367406;27724;12583;65148;0.45386668590391;
10/10;25;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;93852;0.5155003844886301;154336;79723;13595;0.5165547895500726;27724;14129;74613;0.5096306449285818;
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112215;0.6163627375590465;154336;102837;18346;0.6663189404934688;27724;9378;51499;0.33826287692973595;
10/10;30;True;20;19;0.95;10;9;0;0.9;10;10;1;1.0;182060;97582;0.5359881357794134;154336;85303;15445;0.5527096724030687;27724;12279;69033;0.4429014572211802;
20/20;1;False;40;23;0.575;20;20;17;1.0;20;3;0;0.15;182040;142924;0.7851241485387827;154326;140091;24881;0.9077601959488356;27714;2833;14235;0.10222270332683842;
20/20;1;True;40;26;0.65;20;13;7;0.65;20;13;7;0.65;182040;99831;0.5484014502307185;154326;86883;14766;0.5629835542941565;27714;12948;67443;0.46720069279064735;
20/20;2;False;40;23;0.575;20;20;17;1.0;20;3;0;0.15;182040;142399;0.7822401669962645;154326;139474;24789;0.9037621658048547;27714;2925;14852;0.10554232517861009;
